,Year,County,Total Population,Total Crime,Classification,Orig_DF
103,2015,lewis,76660,3336,Micropolitan,Properties
104,2016,lewis,76890,3680,Micropolitan,Properties
105,2012,lincoln,10675,345,Noncore,Properties
106,2013,lincoln,10675,275,Noncore,Properties
107,2014,lincoln,10700,273,Noncore,Properties
108,2015,lincoln,10720,263,Noncore,Properties
109,2016,lincoln,10640,293,Noncore,Properties
110,2012,mason,61450,4495,Micropolitan,Properties
111,2013,mason,61800,3690,Micropolitan,Properties
112,2014,mason,62000,3560,Micropolitan,Properties
113,2015,mason,62200,3141,Micropolitan,Properties
114,2016,mason,62320,2674,Micropolitan,Properties
115,2012,okanogan,41425,1416,Noncore,Properties
116,2013,okanogan,41500,1577,Noncore,Properties
117,2014,okanogan,41700,1533,Noncore,Properties
118,2015,okanogan,41860,1301,Noncore,Properties
119,2016,okanogan,41730,1025,Noncore,Properties
120,2012,pacific,20970,736,Noncore,Properties
121,2013,pacific,21000,738,Noncore,Properties
122,2014,pacific,21100,626,Noncore,Properties
123,2015,pacific,21210,502,Noncore,Properties
124,2016,pacific,21180,424,Noncore,Properties
125,2012,pend oreille,13100,768,Metropolitan,Properties
126,2013,pend oreille,13150,804,Metropolitan,Properties
127,2014,pend oreille,13210,646,Metropolitan,Properties
128,2015,pend oreille,13240,521,Metropolitan,Properties
129,2016,pend oreille,13290,411,Metropolitan,Properties
130,2012,pierce,808200,62164,Metropolitan,Properties
131,2013,pierce,814500,61777,Metropolitan,Properties
132,2014,pierce,821300,59781,Metropolitan,Properties
133,2015,pierce,830120,58473,Metropolitan,Properties
134,2016,pierce,844490,61290,Metropolitan,Properties
135,2012,san juan,15925,364,Noncore,Properties
136,2013,san juan,16000,337,Noncore,Properties
137,2014,san juan,16100,245,Noncore,Properties
138,2015,san juan,16180,329,Noncore,Properties
139,2016,san juan,16320,260,Noncore,Properties
140,2012,skagit,117950,8678,Metropolitan,Properties
141,2013,skagit,118600,8650,Metropolitan,Properties
142,2014,skagit,119500,7520,Metropolitan,Properties
143,2015,skagit,120620,8454,Metropolitan,Properties
144,2016,skagit,122270,7619,Metropolitan,Properties
145,2012,skamania,11275,213,Metropolitan,Properties
146,2013,skamania,11300,175,Metropolitan,Properties
147,2014,skamania,11370,177,Metropolitan,Properties
148,2015,skamania,11430,198,Metropolitan,Properties
149,2016,skamania,11500,114,Metropolitan,Properties
150,2012,snohomish,722900,3216,Metropolitan,Properties
151,2013,snohomish,730500,4575,Metropolitan,Properties
152,2014,snohomish,741000,5159,Metropolitan,Properties
153,2015,snohomish,757600,10290,Metropolitan,Properties
154,2016,snohomish,772860,37789,Metropolitan,Properties
155,2012,spokane,475600,1353,Metropolitan,Properties
156,2013,spokane,480000,1288,Metropolitan,Properties
157,2014,spokane,484500,1253,Metropolitan,Properties
158,2015,spokane,488310,1334,Metropolitan,Properties
159,2016,spokane,492530,15492,Metropolitan,Properties
160,2012,state,6817770,279397,,Properties
161,2013,state,6882400,297348,,Properties
162,2014,state,6968170,319331,,Properties
163,2015,state,7061410,327047,,Properties
164,2016,state,7183700,373540,,Properties
165,2012,stevens,43700,1530,Metropolitan,Properties
166,2013,stevens,43800,1323,Metropolitan,Properties
167,2014,stevens,43900,1478,Metropolitan,Properties
168,2015,stevens,44030,1416,Metropolitan,Properties
169,2016,stevens,44100,1300,Metropolitan,Properties
170,2012,thurston,256800,5965,Metropolitan,Properties
171,2013,thurston,260100,5221,Metropolitan,Properties
172,2014,thurston,264000,12921,Metropolitan,Properties
173,2015,thurston,267410,13714,Metropolitan,Properties
174,2016,thurston,272690,13800,Metropolitan,Properties
175,2012,wahkiakum,4025,31,Noncore,Properties
176,2013,wahkiakum,4020,44,Noncore,Properties
177,2014,wahkiakum,4010,68,Noncore,Properties
178,2015,wahkiakum,3980,107,Noncore,Properties
179,2016,wahkiakum,4000,82,Noncore,Properties
180,2012,walla walla,59100,1133,Metropolitan,Properties
181,2013,walla walla,59500,3611,Metropolitan,Properties
182,2014,walla walla,60150,3643,Metropolitan,Properties
183,2015,walla walla,60650,3603,Metropolitan,Properties
184,2016,walla walla,60730,3600,Metropolitan,Properties
185,2012,whatcom,203500,9322,Metropolitan,Properties
186,2013,whatcom,205800,9371,Metropolitan,Properties
187,2014,whatcom,207600,12644,Metropolitan,Properties
188,2015,whatcom,209790,11349,Metropolitan,Properties
189,2016,whatcom,212540,12337,Metropolitan,Properties
190,2012,whitman,45950,1684,Micropolitan,Properties
191,2013,whitman,46000,1388,Micropolitan,Properties
192,2014,whitman,46500,1567,Micropolitan,Properties
193,2015,whitman,47250,1269,Micropolitan,Properties
194,2016,whitman,47940,913,Micropolitan,Properties
195,2012,yakima,246000,14322,Metropolitan,Properties
196,2013,yakima,247250,15219,Metropolitan,Properties
197,2014,yakima,248800,14460,Metropolitan,Properties
198,2015,yakima,249970,15305,Metropolitan,Properties
199,2016,yakima,250900,15560,Metropolitan,Properties
0,2012,adams,19050,242,Micropolitan,Drug
1,2013,adams,19200,223,Micropolitan,Drug
2,2014,adams,19400,259,Micropolitan,Drug
3,2015,adams,19410,253,Micropolitan,Drug
4,2016,adams,19510,292,Micropolitan,Drug
5,2012,asotin,21700,329,Metropolitan,Drug
6,2013,asotin,21800,248,Metropolitan,Drug
7,2014,asotin,21950,144,Metropolitan,Drug
8,2015,asotin,22010,147,Metropolitan,Drug
9,2016,asotin,22150,100,Metropolitan,Drug
10,2012,benton,180000,3273,Metropolitan,Drug
11,2013,benton,183400,2148,Metropolitan,Drug
12,2014,benton,186500,2124,Metropolitan,Drug
13,2015,benton,188590,2041,Metropolitan,Drug
14,2016,benton,190500,2145,Metropolitan,Drug
15,2012,chelan,73200,226,Metropolitan,Drug
16,2013,chelan,73600,653,Metropolitan,Drug
17,2014,chelan,74300,822,Metropolitan,Drug
18,2015,chelan,75030,870,Metropolitan,Drug
19,2016,chelan,75910,972,Metropolitan,Drug
20,2012,clallam,72000,817,Micropolitan,Drug
21,2013,clallam,72350,766,Micropolitan,Drug
22,2014,clallam,72500,717,Micropolitan,Drug
23,2015,clallam,72650,556,Micropolitan,Drug
24,2016,clallam,73410,599,Micropolitan,Drug
25,2012,clark,431250,2725,Metropolitan,Drug
26,2013,clark,435500,2100,Metropolitan,Drug
27,2013,garfield,2250,42,Noncore,Drug
28,2014,clark,442800,2111,Metropolitan,Drug
29,2015,clark,451820,2261,Metropolitan,Drug
30,2016,clark,461010,2219,Metropolitan,Drug
31,2012,columbia,4100,3,Metropolitan,Drug
32,2013,columbia,4100,0,Metropolitan,Drug
33,2014,columbia,4080,0,Metropolitan,Drug
34,2015,columbia,4090,2,Metropolitan,Drug
35,2016,columbia,4050,6,Metropolitan,Drug
36,2012,cowlitz,103050,1590,Metropolitan,Drug
37,2013,cowlitz,103300,1660,Metropolitan,Drug
38,2014,cowlitz,103700,1677,Metropolitan,Drug
39,2015,cowlitz,104280,1611,Metropolitan,Drug
40,2016,cowlitz,104850,1791,Metropolitan,Drug
41,2012,douglas,38900,498,Metropolitan,Drug
42,2013,douglas,39280,282,Metropolitan,Drug
43,2014,douglas,39700,258,Metropolitan,Drug
44,2015,douglas,39990,369,Metropolitan,Drug
45,2016,douglas,40720,441,Metropolitan,Drug
46,2012,garfield,2250,55,Noncore,Drug
47,2012,ferry,7650,15,Noncore,Drug
48,2013,ferry,7650,5,Noncore,Drug
49,2014,ferry,7660,55,Noncore,Drug
50,2015,ferry,7710,9,Noncore,Drug
51,2016,ferry,7700,0,Noncore,Drug
52,2012,franklin,82500,1212,Metropolitan,Drug
53,2013,franklin,84800,803,Metropolitan,Drug
54,2014,franklin,86600,954,Metropolitan,Drug
55,2015,franklin,87150,1036,Metropolitan,Drug
56,2016,franklin,88670,1191,Metropolitan,Drug
57,2014,garfield,2240,32,Noncore,Drug
58,2015,garfield,2260,47,Noncore,Drug
59,2016,garfield,2200,45,Noncore,Drug
60,2012,grant,91000,1112,Micropolitan,Drug
61,2013,grant,91800,800,Micropolitan,Drug
62,2014,grant,92900,1004,Micropolitan,Drug
63,2015,grant,93930,947,Micropolitan,Drug
64,2016,grant,94610,1088,Micropolitan,Drug
65,2012,grays harbor,73150,1146,Micropolitan,Drug
66,2013,grays harbor,73200,1045,Micropolitan,Drug
67,2014,grays harbor,73300,1014,Micropolitan,Drug
68,2015,grays harbor,73110,1177,Micropolitan,Drug
69,2016,grays harbor,72820,984,Micropolitan,Drug
70,2012,island,79350,393,Micropolitan,Drug
71,2013,island,79700,203,Micropolitan,Drug
72,2014,island,80000,161,Micropolitan,Drug
73,2015,island,80600,133,Micropolitan,Drug
74,2016,island,82910,192,Micropolitan,Drug
75,2012,jefferson,30175,140,Noncore,Drug
76,2013,jefferson,30275,162,Noncore,Drug
77,2014,jefferson,30700,153,Noncore,Drug
78,2015,jefferson,30880,136,Noncore,Drug
79,2016,jefferson,31090,168,Noncore,Drug
80,2012,king,1957000,8670,Metropolitan,Drug
81,2013,king,1981900,8420,Metropolitan,Drug
82,2014,king,2017250,9037,Metropolitan,Drug
83,2015,king,2052800,10525,Metropolitan,Drug
84,2016,king,2105100,11070,Metropolitan,Drug
85,2012,kitsap,254500,2838,Metropolitan,Drug
86,2013,kitsap,254000,2331,Metropolitan,Drug
87,2014,kitsap,255900,2126,Metropolitan,Drug
88,2015,kitsap,258200,1876,Metropolitan,Drug
89,2016,kitsap,262590,1994,Metropolitan,Drug
90,2012,kittitas,41500,633,Micropolitan,Drug
91,2013,kittitas,41900,360,Micropolitan,Drug
92,2014,kittitas,42100,399,Micropolitan,Drug
93,2015,kittitas,42670,477,Micropolitan,Drug
94,2016,kittitas,43710,483,Micropolitan,Drug
95,2012,klickitat,20600,79,Noncore,Drug
96,2013,klickitat,20700,62,Noncore,Drug
97,2014,klickitat,20850,40,Noncore,Drug
98,2015,klickitat,21000,68,Noncore,Drug
99,2016,klickitat,21270,56,Noncore,Drug
100,2012,lewis,76300,1388,Micropolitan,Drug
101,2013,lewis,76200,861,Micropolitan,Drug
102,2014,lewis,76300,825,Micropolitan,Drug
103,2015,lewis,76660,700,Micropolitan,Drug
104,2016,lewis,76890,703,Micropolitan,Drug
105,2012,lincoln,10675,117,Noncore,Drug
106,2013,lincoln,10675,83,Noncore,Drug
107,2014,lincoln,10700,84,Noncore,Drug
108,2015,lincoln,10720,85,Noncore,Drug
109,2016,lincoln,10640,76,Noncore,Drug
110,2012,mason,61450,732,Micropolitan,Drug
111,2013,mason,61800,610,Micropolitan,Drug
112,2014,mason,62000,645,Micropolitan,Drug
113,2015,mason,62200,647,Micropolitan,Drug
114,2016,mason,62320,624,Micropolitan,Drug
115,2012,okanogan,41425,314,Noncore,Drug
116,2013,okanogan,41500,231,Noncore,Drug
117,2014,okanogan,41700,222,Noncore,Drug
118,2015,okanogan,41860,230,Noncore,Drug
119,2016,okanogan,41730,245,Noncore,Drug
120,2012,pacific,20970,131,Noncore,Drug
121,2013,pacific,21000,250,Noncore,Drug
122,2014,pacific,21100,225,Noncore,Drug
123,2015,pacific,21210,137,Noncore,Drug
124,2016,pacific,21180,145,Noncore,Drug
125,2012,pend oreille,13100,155,Metropolitan,Drug
126,2013,pend oreille,13150,195,Metropolitan,Drug
127,2014,pend oreille,13210,188,Metropolitan,Drug
128,2015,pend oreille,13240,149,Metropolitan,Drug
129,2016,pend oreille,13290,200,Metropolitan,Drug
130,2012,pierce,808200,6951,Metropolitan,Drug
131,2013,pierce,814500,6848,Metropolitan,Drug
132,2014,pierce,821300,7298,Metropolitan,Drug
133,2015,pierce,830120,7550,Metropolitan,Drug
134,2016,pierce,844490,7393,Metropolitan,Drug
135,2012,san juan,15925,38,Noncore,Drug
136,2013,san juan,16000,26,Noncore,Drug
137,2014,san juan,16100,21,Noncore,Drug
138,2015,san juan,16180,19,Noncore,Drug
139,2016,san juan,16320,30,Noncore,Drug
140,2012,skagit,117950,2518,Metropolitan,Drug
141,2013,skagit,118600,2179,Metropolitan,Drug
142,2014,skagit,119500,2135,Metropolitan,Drug
143,2015,skagit,120620,2597,Metropolitan,Drug
144,2016,skagit,122270,3334,Metropolitan,Drug
145,2012,skamania,11275,97,Metropolitan,Drug
146,2013,skamania,11300,50,Metropolitan,Drug
147,2014,skamania,11370,45,Metropolitan,Drug
148,2015,skamania,11430,21,Metropolitan,Drug
149,2016,skamania,11500,27,Metropolitan,Drug
150,2012,snohomish,722900,962,Metropolitan,Drug
151,2013,snohomish,730500,964,Metropolitan,Drug
152,2014,snohomish,741000,1140,Metropolitan,Drug
153,2015,snohomish,757600,2176,Metropolitan,Drug
154,2016,snohomish,772860,10354,Metropolitan,Drug
155,2012,spokane,475600,197,Metropolitan,Drug
156,2013,spokane,480000,167,Metropolitan,Drug
157,2014,spokane,484500,163,Metropolitan,Drug
158,2015,spokane,488310,271,Metropolitan,Drug
159,2016,spokane,492530,1138,Metropolitan,Drug
160,2012,state,6817770,46620,,Drug
161,2013,state,6882400,40456,,Drug
162,2014,state,6968170,43084,,Drug
163,2015,state,7061410,45488,,Drug
164,2016,state,7183700,56875,,Drug
165,2012,stevens,43700,225,Metropolitan,Drug
166,2013,stevens,43800,135,Metropolitan,Drug
167,2014,stevens,43900,135,Metropolitan,Drug
168,2015,stevens,44030,143,Metropolitan,Drug
169,2016,stevens,44100,127,Metropolitan,Drug
170,2012,thurston,256800,708,Metropolitan,Drug
171,2013,thurston,260100,442,Metropolitan,Drug
172,2014,thurston,264000,1672,Metropolitan,Drug
173,2015,thurston,267410,1589,Metropolitan,Drug
174,2016,thurston,272690,1852,Metropolitan,Drug
175,2012,wahkiakum,4025,15,Noncore,Drug
176,2013,wahkiakum,4020,24,Noncore,Drug
177,2014,wahkiakum,4010,19,Noncore,Drug
178,2015,wahkiakum,3980,11,Noncore,Drug
179,2016,wahkiakum,4000,4,Noncore,Drug
180,2012,walla walla,59100,262,Metropolitan,Drug
181,2013,walla walla,59500,571,Metropolitan,Drug
182,2014,walla walla,60150,651,Metropolitan,Drug
183,2015,walla walla,60650,509,Metropolitan,Drug
184,2016,walla walla,60730,577,Metropolitan,Drug
185,2012,whatcom,203500,1826,Metropolitan,Drug
186,2013,whatcom,205800,1495,Metropolitan,Drug
187,2014,whatcom,207600,1940,Metropolitan,Drug
188,2015,whatcom,209790,1690,Metropolitan,Drug
189,2016,whatcom,212540,1835,Metropolitan,Drug
190,2012,whitman,45950,1118,Micropolitan,Drug
191,2013,whitman,46000,637,Micropolitan,Drug
192,2014,whitman,46500,719,Micropolitan,Drug
193,2015,whitman,47250,488,Micropolitan,Drug
194,2016,whitman,47940,350,Micropolitan,Drug
195,2012,yakima,246000,2870,Metropolitan,Drug
196,2013,yakima,247250,2375,Metropolitan,Drug
197,2014,yakima,248800,1870,Metropolitan,Drug
198,2015,yakima,249970,1935,Metropolitan,Drug
199,2016,yakima,250900,2025,Metropolitan,Drug
0,2012,adams,19050,20,Micropolitan,Sexual
1,2013,adams,19200,31,Micropolitan,Sexual
2,2014,adams,19400,20,Micropolitan,Sexual
3,2015,adams,19410,30,Micropolitan,Sexual
4,2016,adams,19510,21,Micropolitan,Sexual
5,2012,asotin,21700,9,Metropolitan,Sexual
6,2013,asotin,21800,6,Metropolitan,Sexual
7,2014,asotin,21950,11,Metropolitan,Sexual
8,2015,asotin,22010,15,Metropolitan,Sexual
9,2016,asotin,22150,21,Metropolitan,Sexual
10,2012,benton,180000,217,Metropolitan,Sexual
11,2013,benton,183400,209,Metropolitan,Sexual
12,2014,benton,186500,209,Metropolitan,Sexual
13,2015,benton,188590,224,Metropolitan,Sexual
14,2016,benton,190500,229,Metropolitan,Sexual
15,2012,chelan,73200,11,Metropolitan,Sexual
16,2013,chelan,73600,55,Metropolitan,Sexual
17,2014,chelan,74300,53,Metropolitan,Sexual
18,2015,chelan,75030,48,Metropolitan,Sexual
19,2016,chelan,75910,52,Metropolitan,Sexual
20,2012,clallam,72000,93,Micropolitan,Sexual
21,2013,clallam,72350,77,Micropolitan,Sexual
22,2014,clallam,72500,60,Micropolitan,Sexual
23,2015,clallam,72650,82,Micropolitan,Sexual
24,2016,clallam,73410,87,Micropolitan,Sexual
25,2012,clark,431250,280,Metropolitan,Sexual
26,2013,clark,435500,235,Metropolitan,Sexual
27,2013,garfield,2250,2,Noncore,Sexual
28,2014,clark,442800,251,Metropolitan,Sexual
29,2015,clark,451820,308,Metropolitan,Sexual
30,2016,clark,461010,339,Metropolitan,Sexual
31,2012,columbia,4100,4,Metropolitan,Sexual
32,2013,columbia,4100,3,Metropolitan,Sexual
33,2014,columbia,4080,0,Metropolitan,Sexual
34,2015,columbia,4090,0,Metropolitan,Sexual
35,2016,columbia,4050,5,Metropolitan,Sexual
36,2012,cowlitz,103050,118,Metropolitan,Sexual
37,2013,cowlitz,103300,134,Metropolitan,Sexual
38,2014,cowlitz,103700,99,Metropolitan,Sexual
39,2015,cowlitz,104280,116,Metropolitan,Sexual
40,2016,cowlitz,104850,107,Metropolitan,Sexual
41,2012,douglas,38900,34,Metropolitan,Sexual
42,2013,douglas,39280,32,Metropolitan,Sexual
43,2014,douglas,39700,18,Metropolitan,Sexual
44,2015,douglas,39990,21,Metropolitan,Sexual
45,2016,douglas,40720,28,Metropolitan,Sexual
46,2012,garfield,2250,4,Noncore,Sexual
47,2012,ferry,7650,4,Noncore,Sexual
48,2013,ferry,7650,6,Noncore,Sexual
49,2014,ferry,7660,6,Noncore,Sexual
50,2015,ferry,7710,2,Noncore,Sexual
51,2016,ferry,7700,4,Noncore,Sexual
52,2012,franklin,82500,135,Metropolitan,Sexual
53,2013,franklin,84800,124,Metropolitan,Sexual
54,2014,franklin,86600,118,Metropolitan,Sexual
55,2015,franklin,87150,131,Metropolitan,Sexual
56,2016,franklin,88670,129,Metropolitan,Sexual
57,2014,garfield,2240,2,Noncore,Sexual
58,2015,garfield,2260,14,Noncore,Sexual
59,2016,garfield,2200,9,Noncore,Sexual
60,2012,grant,91000,99,Micropolitan,Sexual
61,2013,grant,91800,88,Micropolitan,Sexual
62,2014,grant,92900,81,Micropolitan,Sexual
63,2015,grant,93930,76,Micropolitan,Sexual
64,2016,grant,94610,60,Micropolitan,Sexual
65,2012,grays harbor,73150,95,Micropolitan,Sexual
66,2013,grays harbor,73200,143,Micropolitan,Sexual
67,2014,grays harbor,73300,147,Micropolitan,Sexual
68,2015,grays harbor,73110,133,Micropolitan,Sexual
69,2016,grays harbor,72820,164,Micropolitan,Sexual
70,2012,island,79350,43,Micropolitan,Sexual
71,2013,island,79700,24,Micropolitan,Sexual
72,2014,island,80000,23,Micropolitan,Sexual
73,2015,island,80600,26,Micropolitan,Sexual
74,2016,island,82910,30,Micropolitan,Sexual
75,2012,jefferson,30175,30,Noncore,Sexual
76,2013,jefferson,30275,28,Noncore,Sexual
77,2014,jefferson,30700,35,Noncore,Sexual
78,2015,jefferson,30880,16,Noncore,Sexual
79,2016,jefferson,31090,19,Noncore,Sexual
80,2012,king,1957000,696,Metropolitan,Sexual
81,2013,king,1981900,751,Metropolitan,Sexual
82,2014,king,2017250,933,Metropolitan,Sexual
83,2015,king,2052800,1005,Metropolitan,Sexual
84,2016,king,2105100,1207,Metropolitan,Sexual
85,2012,kitsap,254500,265,Metropolitan,Sexual
86,2013,kitsap,254000,252,Metropolitan,Sexual
87,2014,kitsap,255900,266,Metropolitan,Sexual
88,2015,kitsap,258200,221,Metropolitan,Sexual
89,2016,kitsap,262590,236,Metropolitan,Sexual
90,2012,kittitas,41500,34,Micropolitan,Sexual
91,2013,kittitas,41900,24,Micropolitan,Sexual
92,2014,kittitas,42100,34,Micropolitan,Sexual
93,2015,kittitas,42670,38,Micropolitan,Sexual
94,2016,kittitas,43710,34,Micropolitan,Sexual
95,2012,klickitat,20600,12,Noncore,Sexual
96,2013,klickitat,20700,6,Noncore,Sexual
97,2014,klickitat,20850,11,Noncore,Sexual
98,2015,klickitat,21000,13,Noncore,Sexual
99,2016,klickitat,21270,17,Noncore,Sexual
100,2012,lewis,76300,94,Micropolitan,Sexual
101,2013,lewis,76200,76,Micropolitan,Sexual
102,2014,lewis,76300,98,Micropolitan,Sexual
103,2015,lewis,76660,84,Micropolitan,Sexual
104,2016,lewis,76890,72,Micropolitan,Sexual
105,2012,lincoln,10675,7,Noncore,Sexual
106,2013,lincoln,10675,9,Noncore,Sexual
107,2014,lincoln,10700,16,Noncore,Sexual
108,2015,lincoln,10720,8,Noncore,Sexual
109,2016,lincoln,10640,10,Noncore,Sexual
110,2012,mason,61450,85,Micropolitan,Sexual
111,2013,mason,61800,58,Micropolitan,Sexual
112,2014,mason,62000,69,Micropolitan,Sexual
113,2015,mason,62200,45,Micropolitan,Sexual
114,2016,mason,62320,76,Micropolitan,Sexual
115,2012,okanogan,41425,15,Noncore,Sexual
116,2013,okanogan,41500,16,Noncore,Sexual
117,2014,okanogan,41700,14,Noncore,Sexual
118,2015,okanogan,41860,17,Noncore,Sexual
119,2016,okanogan,41730,12,Noncore,Sexual
120,2012,pacific,20970,11,Noncore,Sexual
121,2013,pacific,21000,19,Noncore,Sexual
122,2014,pacific,21100,22,Noncore,Sexual
123,2015,pacific,21210,14,Noncore,Sexual
124,2016,pacific,21180,12,Noncore,Sexual
125,2012,pend oreille,13100,9,Metropolitan,Sexual
126,2013,pend oreille,13150,8,Metropolitan,Sexual
127,2014,pend oreille,13210,14,Metropolitan,Sexual
128,2015,pend oreille,13240,15,Metropolitan,Sexual
129,2016,pend oreille,13290,15,Metropolitan,Sexual
130,2012,pierce,808200,847,Metropolitan,Sexual
131,2013,pierce,814500,886,Metropolitan,Sexual
132,2014,pierce,821300,914,Metropolitan,Sexual
133,2015,pierce,830120,971,Metropolitan,Sexual
134,2016,pierce,844490,1020,Metropolitan,Sexual
135,2012,san juan,15925,6,Noncore,Sexual
136,2013,san juan,16000,6,Noncore,Sexual
137,2014,san juan,16100,4,Noncore,Sexual
138,2015,san juan,16180,5,Noncore,Sexual
139,2016,san juan,16320,9,Noncore,Sexual
140,2012,skagit,117950,86,Metropolitan,Sexual
141,2013,skagit,118600,75,Metropolitan,Sexual
142,2014,skagit,119500,114,Metropolitan,Sexual
143,2015,skagit,120620,76,Metropolitan,Sexual
144,2016,skagit,122270,66,Metropolitan,Sexual
145,2012,skamania,11275,17,Metropolitan,Sexual
146,2013,skamania,11300,10,Metropolitan,Sexual
147,2014,skamania,11370,6,Metropolitan,Sexual
148,2015,skamania,11430,13,Metropolitan,Sexual
149,2016,skamania,11500,5,Metropolitan,Sexual
150,2012,snohomish,722900,52,Metropolitan,Sexual
151,2013,snohomish,730500,70,Metropolitan,Sexual
152,2014,snohomish,741000,86,Metropolitan,Sexual
153,2015,snohomish,757600,136,Metropolitan,Sexual
154,2016,snohomish,772860,513,Metropolitan,Sexual
155,2012,spokane,475600,13,Metropolitan,Sexual
156,2013,spokane,480000,8,Metropolitan,Sexual
157,2014,spokane,484500,19,Metropolitan,Sexual
158,2015,spokane,488310,30,Metropolitan,Sexual
159,2016,spokane,492530,307,Metropolitan,Sexual
160,2012,state,6817770,3995,,Sexual
161,2013,state,6882400,4109,,Sexual
162,2014,state,6968170,4588,,Sexual
163,2015,state,7061410,4814,,Sexual
164,2016,state,7183700,5830,,Sexual
165,2012,stevens,43700,35,Metropolitan,Sexual
166,2013,stevens,43800,44,Metropolitan,Sexual
167,2014,stevens,43900,46,Metropolitan,Sexual
168,2015,stevens,44030,50,Metropolitan,Sexual
169,2016,stevens,44100,32,Metropolitan,Sexual
170,2012,thurston,256800,105,Metropolitan,Sexual
171,2013,thurston,260100,104,Metropolitan,Sexual
172,2014,thurston,264000,229,Metropolitan,Sexual
173,2015,thurston,267410,231,Metropolitan,Sexual
174,2016,thurston,272690,190,Metropolitan,Sexual
175,2012,wahkiakum,4025,3,Noncore,Sexual
176,2013,wahkiakum,4020,6,Noncore,Sexual
177,2014,wahkiakum,4010,0,Noncore,Sexual
178,2015,wahkiakum,3980,2,Noncore,Sexual
179,2016,wahkiakum,4000,5,Noncore,Sexual
180,2012,walla walla,59100,16,Metropolitan,Sexual
181,2013,walla walla,59500,37,Metropolitan,Sexual
182,2014,walla walla,60150,45,Metropolitan,Sexual
183,2015,walla walla,60650,73,Metropolitan,Sexual
184,2016,walla walla,60730,60,Metropolitan,Sexual
185,2012,whatcom,203500,117,Metropolitan,Sexual
186,2013,whatcom,205800,131,Metropolitan,Sexual
187,2014,whatcom,207600,173,Metropolitan,Sexual
188,2015,whatcom,209790,181,Metropolitan,Sexual
189,2016,whatcom,212540,227,Metropolitan,Sexual
190,2012,whitman,45950,39,Micropolitan,Sexual
191,2013,whitman,46000,32,Micropolitan,Sexual
192,2014,whitman,46500,28,Micropolitan,Sexual
193,2015,whitman,47250,29,Micropolitan,Sexual
194,2016,whitman,47940,57,Micropolitan,Sexual
195,2012,yakima,246000,235,Metropolitan,Sexual
196,2013,yakima,247250,284,Metropolitan,Sexual
197,2014,yakima,248800,314,Metropolitan,Sexual
198,2015,yakima,249970,315,Metropolitan,Sexual
199,2016,yakima,250900,344,Metropolitan,Sexual
0,2012,adams,19050,1915,Micropolitan,Overall
1,2013,adams,19200,2130,Micropolitan,Overall
2,2014,adams,19400,2122,Micropolitan,Overall
3,2015,adams,19410,1770,Micropolitan,Overall
4,2016,adams,19510,1525,Micropolitan,Overall
5,2012,asotin,21700,1437,Metropolitan,Overall
6,2013,asotin,21800,1615,Metropolitan,Overall
7,2014,asotin,21950,1338,Metropolitan,Overall
8,2015,asotin,22010,1593,Metropolitan,Overall
9,2016,asotin,22150,1511,Metropolitan,Overall
10,2012,benton,180000,11993,Metropolitan,Overall
11,2013,benton,183400,12296,Metropolitan,Overall
12,2014,benton,186500,12133,Metropolitan,Overall
13,2015,benton,188590,11806,Metropolitan,Overall
14,2016,benton,190500,11886,Metropolitan,Overall
15,2012,chelan,73200,1349,Metropolitan,Overall
16,2013,chelan,73600,3898,Metropolitan,Overall
17,2014,chelan,74300,3468,Metropolitan,Overall
18,2015,chelan,75030,3892,Metropolitan,Overall
19,2016,chelan,75910,3991,Metropolitan,Overall
20,2012,clallam,72000,5237,Micropolitan,Overall
21,2013,clallam,72350,5330,Micropolitan,Overall
22,2014,clallam,72500,4863,Micropolitan,Overall
23,2015,clallam,72650,5066,Micropolitan,Overall
24,2016,clallam,73410,4524,Micropolitan,Overall
25,2012,clark,431250,22287,Metropolitan,Overall
26,2013,clark,435500,20490,Metropolitan,Overall
27,2013,garfield,2250,173,Noncore,Overall
28,2014,clark,442800,19193,Metropolitan,Overall
29,2015,clark,451820,21761,Metropolitan,Overall
30,2016,clark,461010,21209,Metropolitan,Overall
31,2012,columbia,4100,262,Metropolitan,Overall
32,2013,columbia,4100,305,Metropolitan,Overall
33,2014,columbia,4080,127,Metropolitan,Overall
34,2015,columbia,4090,83,Metropolitan,Overall
35,2016,columbia,4050,211,Metropolitan,Overall
36,2012,cowlitz,103050,8367,Metropolitan,Overall
37,2013,cowlitz,103300,9414,Metropolitan,Overall
38,2014,cowlitz,103700,8442,Metropolitan,Overall
39,2015,cowlitz,104280,7916,Metropolitan,Overall
40,2016,cowlitz,104850,8053,Metropolitan,Overall
41,2012,douglas,38900,1750,Metropolitan,Overall
42,2013,douglas,39280,1835,Metropolitan,Overall
43,2014,douglas,39700,1684,Metropolitan,Overall
44,2015,douglas,39990,1903,Metropolitan,Overall
45,2016,douglas,40720,1908,Metropolitan,Overall
46,2012,garfield,2250,145,Noncore,Overall
47,2012,ferry,7650,121,Noncore,Overall
48,2013,ferry,7650,129,Noncore,Overall
49,2014,ferry,7660,165,Noncore,Overall
50,2015,ferry,7710,112,Noncore,Overall
51,2016,ferry,7700,25,Noncore,Overall
52,2012,franklin,82500,5219,Metropolitan,Overall
53,2013,franklin,84800,5240,Metropolitan,Overall
