,Year,County,Total Population,Total Crime,Classification,Orig_DF
107,2014,lincoln,10700,302,Noncore,Violence + Murder
108,2015,lincoln,10720,312,Noncore,Violence + Murder
109,2016,lincoln,10640,320,Noncore,Violence + Murder
110,2012,mason,61450,4160,Micropolitan,Violence + Murder
111,2013,mason,61800,3493,Micropolitan,Violence + Murder
112,2014,mason,62000,3434,Micropolitan,Violence + Murder
113,2015,mason,62200,3147,Micropolitan,Violence + Murder
114,2016,mason,62320,2752,Micropolitan,Violence + Murder
115,2012,okanogan,41425,1601,Noncore,Violence + Murder
116,2013,okanogan,41500,1663,Noncore,Violence + Murder
117,2014,okanogan,41700,1546,Noncore,Violence + Murder
118,2015,okanogan,41860,1356,Noncore,Violence + Murder
119,2016,okanogan,41730,1155,Noncore,Violence + Murder
120,2012,pacific,20970,731,Noncore,Violence + Murder
121,2013,pacific,21000,793,Noncore,Violence + Murder
122,2014,pacific,21100,702,Noncore,Violence + Murder
123,2015,pacific,21210,582,Noncore,Violence + Murder
124,2016,pacific,21180,526,Noncore,Violence + Murder
125,2012,pend oreille,13100,919,Metropolitan,Violence + Murder
126,2013,pend oreille,13150,951,Metropolitan,Violence + Murder
127,2014,pend oreille,13210,764,Metropolitan,Violence + Murder
128,2015,pend oreille,13240,631,Metropolitan,Violence + Murder
129,2016,pend oreille,13290,548,Metropolitan,Violence + Murder
130,2012,pierce,808200,65730,Metropolitan,Violence + Murder
131,2013,pierce,814500,66569,Metropolitan,Violence + Murder
132,2014,pierce,821300,64018,Metropolitan,Violence + Murder
133,2015,pierce,830120,64036,Metropolitan,Violence + Murder
134,2016,pierce,844490,67397,Metropolitan,Violence + Murder
135,2012,san juan,15925,365,Noncore,Violence + Murder
136,2013,san juan,16000,350,Noncore,Violence + Murder
137,2014,san juan,16100,261,Noncore,Violence + Murder
138,2015,san juan,16180,345,Noncore,Violence + Murder
139,2016,san juan,16320,309,Noncore,Violence + Murder
140,2012,skagit,117950,9428,Metropolitan,Violence + Murder
141,2013,skagit,118600,9433,Metropolitan,Violence + Murder
142,2014,skagit,119500,8305,Metropolitan,Violence + Murder
143,2015,skagit,120620,9301,Metropolitan,Violence + Murder
144,2016,skagit,122270,8578,Metropolitan,Violence + Murder
145,2012,skamania,11275,298,Metropolitan,Violence + Murder
146,2013,skamania,11300,278,Metropolitan,Violence + Murder
147,2014,skamania,11370,256,Metropolitan,Violence + Murder
148,2015,skamania,11430,236,Metropolitan,Violence + Murder
149,2016,skamania,11500,171,Metropolitan,Violence + Murder
150,2012,snohomish,722900,3392,Metropolitan,Violence + Murder
