,Year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,SCF_ASSAULT,SCF_DRUG_CR,SCF_HOMICIDE,SCF_MVT,SCF_OTHFELON,SCF_PROPCR,SCF_ROBBERY,SCF_SEXCR,SCF_TOTAL,JDP_OTHRADP,JDP_POST_ADP,JDP_PRE_ADP,JDP_CAPACITY,JDP_TOTALADP,JST_ASSAULT,JST_BURGLARY,JST_DRUG_CR,JST_MNSLGHTR,JST_MURDER,JST_OTHCRIME,JST_OTHPROPCR,JST_ROBBERY,JST_SEXCR,JST_TOTAL,JST_UNKNOWN,AJS_ASSAULT,AJS_AVG_SENT,AJS_BURGLARY,AJS_DRUG_CR,AJS_MNSLGHTR,AJS_MURDER,AJS_OTHCRIME,AJS_OTHPROPCR,AJS_ROBBERY,AJS_SEXCR,AJS_UNKNOWN,PDP_NEW_ADM,PDP_OTHER,PDP_PAROLE_V,PDP_READM,PDP_TOTAL,PST_ASSAULT,PST_BURGLARY,PST_DRUG_CR,PST_MNSLGHTR,PST_MURDER,PST_OTHCRIME,PST_OTHPROPCR,PST_ROBBERY,PST_SEXCR,PST_TOTAL,PST_UNKNOWN,APS_ASSAULT,APS_AVG_SENT,APS_BURGLARY,APS_DRUG_CR,APS_MNSLGHTR,APS_MURDER,APS_OTHCRIME,APS_OTHPROPCR,APS_ROBBERY,APS_SEXCR,APS_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,JUV_ASSAULT,JUV_BURGLARY,JUV_DRUG_CR,JUV_G_MSDMNR,JUV_MNSLGHTR,JUV_MSDMNR,JUV_MURDER,JUV_OTHFELCRIME,JUV_OTHPROPCR,JUV_ROBBERY,JUV_SEXCR,JUV_TOTAL,MIN_ASSAULT,MIN_AVG_MIN_DISP,MIN_BURGLARY,MIN_DRUG_CR,MIN_G_MSDMNR,MIN_MNSLGHTR,MIN_MSDMNR,MIN_MURDER,MIN_OTHFELCRIME,MIN_OTHPROPCR,MIN_ROBBERY,MIN_SEXCR,MAX_ASSAULT,MAX_AVG_MAX_DISP,MAX_BURGLARY,MAX_DRUG_CR,MAX_G_MSDMNR,MAX_MNSLGHTR,MAX_MSDMNR,MAX_MURDER,MAX_OTHFELCRIME,MAX_OTHPROPCR,MAX_ROBBERY,MAX_SEXCR,Total Population
76,2012,BENTON,15434,7697,25210,41728,90068,16206,8246,25920,39562,89932,0,0,0,0,0,0,0,0,0,34,2006,0,851,2055,1529,2,112,207,0,0,33,3,1,10,18,7507,3,2742,56,1744,4397,11993,482,194,106,3,56,436,0,10,2657,4,29,432,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,427,3,21.0,187,339,31,84,1303,-99.0,-99.0,-99.0,730,600.0,93,21,230,0,0,53,138,4,14,557,4,4.5,3.2,3.5,2.5,0.0,0.0,3.5,2.8,8.3,8.1,4.0,140,3,438,131,274,75,25,80,2,1,47,75,4,24,335,2,31.4,32.4,32.3,22.7,36.0,60.0,25.5,23.0,96.8,97.6,53.0,25,0,58,170,0,1,568,1,7,276,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4,19,36,19,13,19,243,0,216,0,13,79,11,13,626,46.0,28.7,75.57142857,20.08333333,10.29411765,0,9.466666667,0.0,12.11111111,98.82352941,207.0,70.77777778,69.1,35.3,109.57142859999999,32.33333333,10.29411765,0.0,9.466666667,0.0,12.11111111,126.0,280.0,75.25,180000
77,2013,BENTON,15698,7789,25615,42622,91722,16440,8354,26371,40513,91678,0,0,0,0,0,0,0,0,0,27,2108,2,839,1870,871,4,127,179,0,0,26,2,7,11,16,7320,6,2765,60,1075,4391,11160,432,182,0,0,0,0,0,0,0,0,0,0,0,0,942,0,97,164,359,2,38,16,0,2223,0,17,3,8,13,3,3,21,986,5188,224,69,200,437,10,37.0,195,303,24,72,1278,-99.0,-99.0,-99.0,730,646.0,72,21,183,0,0,62,133,4,7,485,3,3.7,2.9,3.2,2.2,0.0,0.0,3.7,3.0,4.1,4.1,4.0,130,1,873,137,268,57,12,101,0,0,30,67,7,22,302,6,27.1,30.1,27.9,20.1,0.0,0.0,29.0,25.1,39.3,98.7,29.8,0,0,0,0,0,0,0,0,0,0,0,4,200,34,73,202,1,0,13,257,0,0,0,6,1,0,5,317,1136,4,19,3,30,7,8,40,6,15,13,280,0,242,0,6,83,5,11,661,51.0,35.9,102.8,25.14285714,31.6,0,23.15384615,0.0,17.2,52.17647059,276.3333333,118.2,63.25,44.5,150.4,46.14285714,34.4,0.0,28.23076923,0.0,17.2,73.38888889,386.0,146.2,183400
78,2014,BENTON,15889,7866,25902,43565,93222,16608,8436,26712,41521,93278,0,0,0,0,0,0,0,0,0,27,1970,0,906,1585,844,2,100,192,0,0,31,0,8,7,23,7125,11,2760,59,1079,4446,10964,552,201,0,0,0,0,0,0,0,0,0,0,0,2,980,1,117,171,322,0,27,18,0,2119,0,16,0,2,7,2,9,22,1063,5240,290,72,216,413,4,34.0,159,320,17,70,1233,-99.0,-99.0,-99.0,738,686.0,65,13,206,0,0,47,144,3,7,485,0,4.2,3.4,3.8,3.1,0.0,0.0,3.7,3.0,7.0,5.8,0.0,141,0,614,138,279,58,17,100,1,3,27,99,9,31,345,0,28.6,29.8,27.9,20.4,28.0,269.3,21.7,26.0,56.8,51.9,0.0,0,0,0,0,0,0,0,0,0,0,0,6,221,64,67,201,0,1,6,259,2,1,1,4,4,0,7,294,1169,12,19,0,19,5,12,24,14,10,11,201,0,138,0,3,45,1,9,432,87.625,25.4,87.33333333,20.11111111,15.33333333,0,6.083333333,0.0,43.33333333,93.71428571,105.0,32.25,123.5,33.4,127.0,36.44444444,17.27777778,0.0,6.083333333,0.0,92.33333333,123.7142857,252.0,69.0,186500
79,2015,BENTON,15952,7950,25961,44291,94155,16636,8510,26791,42498,94435,0,0,0,0,0,0,0,0,0,38,1995,0,750,1621,855,9,111,201,0,2,49,0,3,6,26,6872,13,2815,37,1051,4306,10738,559,157,0,0,0,0,0,0,0,0,0,0,0,2,874,0,114,125,349,2,17,22,0,1808,0,22,0,3,8,3,3,17,997,4721,306,49,214,463,3,33.0,165,282,20,72,1252,-99.0,-99.0,-99.0,738,558.0,69,20,195,1,0,60,138,0,14,497,0,3.6,3.1,3.8,2.9,12.0,0.0,3.6,2.6,0.0,3.1,0.0,108,1,709,124,233,60,29,79,1,5,43,65,5,18,305,0,35.0,40.1,37.7,25.5,21.0,320.8,26.7,28.1,57.4,119.6,0.0,0,0,0,0,0,0,0,0,0,0,0,6,211,69,69,135,0,1,9,225,4,0,0,6,3,0,6,283,1068,19,22,0,20,5,5,25,13,13,11,240,0,109,0,5,60,1,11,463,147.5555556,29.0,10.625,24.66666667,18.904761899999997,0,6.333333333,0.0,42.33333333,82.75,105.0,53.85714286,163.88888889999998,36.4,10.625,49.16666667,21.57142857,0.0,6.333333333,0.0,91.33333333,109.0,252.0,84.85714286,188590
80,2016,BENTON,16053,8049,25922,44930,94953,16781,8586,26794,43386,95547,0,0,0,0,0,0,0,0,0,45,1850,0,702,1687,877,6,129,187,1,2,34,1,3,15,26,7162,13,2623,54,1085,4539,10870,531,168,0,0,0,0,0,0,0,0,0,0,0,3,845,0,88,162,310,3,25,30,0,1543,0,17,0,2,15,3,3,23,930,4368,314,52,185,398,1,31.0,168,271,26,79,1159,-99.0,-99.0,-99.0,744,548.9,64,20,200,0,0,57,115,3,7,466,0,4.7,3.3,3.2,2.8,0.0,0.0,3.2,3.1,4.3,6.2,0.0,147,2,869,142,291,77,19,105,2,1,37,74,11,21,347,0,34.4,33.1,32.6,21.5,106.0,390.0,23.7,29.3,50.8,83.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,183,41,74,183,1,0,19,226,0,0,0,6,5,0,9,235,1016,12,22,0,19,6,4,25,17,20,12,225,0,97,0,7,42,6,13,439,118.0,30.8,18.66666667,26.57142857,32.3,0,9.0,0.0,26.83333333,17.58333333,234.5,25.57142857,156.18181819999998,39.5,35.0,47.57142857,36.5,0.0,9.0,0.0,51.33333333,29.83333333,353.5,46.57142857,190500
103,2012,CHELAN,5675,2960,9178,18899,36712,6072,3043,9615,17758,36488,0,0,0,0,0,0,0,0,0,0,269,0,179,201,104,0,10,10,0,0,3,0,1,1,0,872,0,355,6,122,476,1349,71,18,41,0,36,135,1,7,946,4,8,222,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,144,1,9.0,58,132,6,15,451,-99.0,-99.0,-99.0,383,206.0,31,8,52,0,0,20,46,0,4,161,0,4.2,3.1,3.3,3.1,0.0,0.0,2.8,1.9,0.0,9.0,0.0,45,0,256,39,84,17,3,33,2,3,2,18,0,0,78,0,36.4,45.9,21.9,30.1,178.0,291.7,25.5,34.6,0.0,0.0,0.0,1,0,3,20,0,6,103,0,1,65,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,1,15,4,1,7,101,0,71,0,3,15,1,0,203,56.5,20.4,364.0,26.33333333,10.88888889,0,21.0,0.0,11.33333333,11.6,560.0,0.0,63.5,23.2,455.0,50.83333333,10.88888889,0.0,23.15384615,0.0,11.33333333,11.6,700.0,0.0,73200
104,2013,CHELAN,5648,2917,9238,19074,36877,6102,3035,9638,17947,36723,0,0,0,0,0,0,0,0,0,9,625,0,297,415,276,1,75,46,0,0,1,0,1,4,2,2408,1,894,14,336,1597,3638,217,57,0,0,0,0,0,0,0,0,0,0,0,2,431,0,36,114,167,0,13,11,0,705,0,2,0,0,1,1,0,9,419,2068,135,22,87,170,3,13.0,109,138,9,25,554,-99.0,-99.0,-99.0,383,221.0,44,9,53,0,0,27,58,0,0,191,0,2.6,3.0,4.2,3.4,0.0,0.0,3.5,2.5,0.0,0.0,0.0,59,1,386,40,100,20,5,37,0,1,11,16,2,4,96,0,31.8,33.4,38.3,29.3,0.0,324.0,24.9,20.4,105.5,39.3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,42,7,12,41,0,1,5,39,1,0,0,0,0,0,1,101,260,1,8,0,9,2,1,11,5,3,1,86,0,55,0,2,18,0,1,171,157.2,27.4,39.66666667,30.0,20.63157895,0,23.75,0.0,18.0,34.6,0.0,11.0,199.2,32.8,88.66666667,30.0,22.10526316,0.0,26.08333333,0.0,18.0,52.1,0.0,11.0,73600
105,2014,CHELAN,5649,2910,9235,19459,37253,6133,3029,9618,18267,37047,0,0,0,0,0,0,0,0,0,5,557,1,350,244,368,2,43,46,0,0,5,0,0,4,2,2014,1,800,16,419,1353,3233,188,48,0,0,0,0,0,0,0,0,0,0,0,4,399,1,52,73,202,1,11,5,0,619,0,8,0,1,0,0,0,8,381,1902,115,22,88,210,0,11.0,153,156,10,14,642,-99.0,-99.0,-99.0,383,265.0,39,15,80,1,0,83,79,0,1,298,0,3.5,2.7,3.1,2.4,3.0,0.0,2.7,2.4,0.0,12.0,0.0,62,1,552,52,115,23,8,36,0,0,11,22,1,5,106,0,31.9,30.3,37.4,32.9,0.0,0.0,21.4,23.6,31.0,42.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,17,35,0,0,3,50,0,0,0,0,0,0,1,82,235,0,5,0,9,0,0,9,3,1,1,60,0,36,0,3,12,0,4,120,27.0,18.6,8.0,182.0,19.76470588,0,11.75,0.0,14.66666667,12.28571429,0.0,40.5,27.0,20.9,8.0,210.0,21.41176471,0.0,11.75,0.0,14.66666667,12.28571429,0.0,77.25,74300
106,2015,CHELAN,5658,2908,9206,19825,37597,6149,3048,9563,18673,37433,0,0,0,0,0,0,0,0,0,6,638,1,372,291,389,1,60,42,0,0,1,0,0,3,1,2289,0,889,8,438,1550,3616,205,48,0,0,0,0,0,0,0,0,0,0,0,2,464,0,50,87,191,0,12,12,0,696,0,2,0,0,2,0,0,3,371,2054,145,17,108,207,2,14.0,201,189,5,19,745,-99.0,-99.0,-99.0,383,281.0,26,10,123,0,0,104,88,3,0,354,0,2.8,2.4,1.7,2.2,0.0,0.0,2.7,2.2,8.8,0.0,0.0,32,2,775,46,80,16,7,18,0,0,11,14,2,1,69,0,33.1,34.0,36.2,32.7,0.0,0.0,21.5,37.1,82.5,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,42,20,26,43,0,0,3,50,0,0,0,0,0,0,0,89,276,0,0,0,9,3,0,12,4,2,7,72,0,43,0,2,15,1,5,151,42.5,24.4,2.5,15.0,19.88235294,0,8.8,0.0,105.0,49.54545455,105.0,107.25,79.25,32.8,2.5,15.0,24.0,0.0,8.8,0.0,140.0,71.81818182,252.0,161.5,75030
107,2016,CHELAN,5686,2918,9141,20280,38025,6208,3087,9463,19127,37885,0,0,0,0,0,0,0,0,0,7,645,0,364,267,426,1,39,39,0,1,19,1,0,8,4,2338,9,913,15,505,1645,3756,200,66,0,0,0,0,0,0,0,0,0,0,0,2,430,0,63,66,238,0,6,15,0,728,0,17,0,0,0,0,9,8,326,2061,132,21,108,237,1,14.0,170,197,9,23,759,-99.0,-99.0,-99.0,300,276.0,44,13,117,0,0,126,67,0,1,368,0,4.3,2.8,2.2,2.4,0.0,0.0,2.9,2.4,0.0,6.0,0.0,54,4,1174,60,118,16,6,35,0,0,12,14,0,3,86,0,34.2,30.8,21.7,25.7,0.0,0.0,17.2,34.8,0.0,125.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,11,41,0,0,3,41,0,1,0,1,0,0,3,62,235,0,5,0,12,3,2,15,9,6,7,84,0,39,0,3,16,0,4,168,55.28571429,25.2,78.25,8.428571429,21.0,0,8.642857142999999,0.0,15.33333333,55.09090909,0.0,45.0,87.0,33.4,122.0,8.428571429,24.5,0.0,8.642857142999999,0.0,15.33333333,76.72727273,0.0,94.0,75910
130,2012,CLALLAM,3984,2149,7345,22807,36284,4258,2299,8610,20548,35716,0,0,0,0,0,0,0,0,0,7,915,1,642,788,373,3,126,80,0,0,23,1,5,13,4,3552,2,1241,25,444,1960,5237,204,65,51,0,39,111,3,8,764,3,8,258,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,59,4,5.0,57,109,16,20,317,-99.0,-99.0,-99.0,102,119.0,18,5,25,0,0,25,19,2,2,96,0,3.3,2.6,2.4,2.1,0.0,0.0,2.9,1.6,4.5,5.1,0.0,44,1,188,32,77,20,1,12,0,1,12,13,5,8,72,0,36.5,39.3,29.0,28.1,0.0,250.0,19.6,38.9,34.7,70.9,0.0,5,0,7,23,1,3,126,0,0,53,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,6,18,8,6,6,111,1,66,2,1,16,0,1,218,114.2,36.8,32.0,61.0,30.60869565,30,18.875,178.5,280.0,78.0,0.0,0.0,92.33333333,39.1,61.4,61.0,30.60869565,30.0,18.875,252.0,280.0,99.0,0.0,0.0,72000
131,2013,CLALLAM,3980,2142,7367,22971,36459,4282,2271,8668,20672,35891,0,0,0,0,0,0,0,0,0,6,870,0,575,721,319,2,87,66,0,0,22,0,1,8,8,3431,1,1245,24,405,2016,5081,278,77,0,0,0,0,0,0,0,0,0,0,0,3,434,0,80,81,164,0,22,5,0,394,0,6,0,0,2,1,0,12,518,1916,160,34,50,77,0,7.0,50,118,13,18,333,-99.0,-99.0,-99.0,102,116.0,23,3,20,0,0,23,39,1,2,111,0,3.5,2.7,5.3,2.8,0.0,0.0,1.7,2.2,9.0,3.4,0.0,28,1,283,42,71,17,3,13,2,1,14,21,4,2,79,2,42.5,38.3,31.3,21.8,66.0,300.0,19.0,29.8,116.3,35.5,31.5,0,0,0,0,0,0,0,0,0,0,0,0,55,13,21,42,0,1,1,48,0,0,0,2,0,0,0,56,249,3,7,0,5,4,5,9,2,3,2,73,0,63,0,0,11,0,2,156,29.5,30.0,151.5,20.5,27.28571429,0,23.09090909,0.0,0.0,60.83333333,0.0,1.0,29.5,33.0,197.0,20.5,29.53571429,0.0,25.95454545,0.0,0.0,60.83333333,0.0,1.0,72350
132,2014,CLALLAM,4001,2113,7388,23001,36503,4257,2286,8715,20739,35997,0,0,0,0,0,0,0,0,0,11,880,0,521,602,319,0,89,52,0,0,13,0,3,6,4,3102,0,1195,27,376,1852,4673,241,53,0,0,0,0,0,0,0,0,0,0,0,0,448,0,78,77,204,0,11,8,0,379,0,5,0,6,1,0,0,14,437,1835,147,20,46,164,5,10.0,32,96,10,32,395,-99.0,-99.0,-99.0,120,125.0,16,7,20,0,0,20,21,0,1,85,0,4.3,3.1,3.4,2.7,0.0,0.0,3.3,1.9,0.0,10.0,0.0,35,1,202,44,80,20,2,18,0,1,13,17,0,7,78,0,25.5,29.8,57.1,20.7,0.0,130.0,23.5,30.6,0.0,52.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,44,7,16,22,0,1,1,52,0,0,0,1,0,0,1,44,190,0,0,0,4,0,5,4,0,5,0,98,0,47,0,1,11,0,1,163,0.0,26.7,48.75,0.0,30.80769231,0,13.5,0.0,0.0,39.14285714,0.0,30.0,0.0,28.5,85.5,0.0,30.80769231,0.0,13.5,0.0,0.0,48.14285714,0.0,30.0,72500
133,2015,CLALLAM,3957,2102,7369,23075,36503,4286,2280,8701,20880,36147,0,0,0,0,0,0,0,0,0,10,886,0,532,669,240,1,93,73,0,0,15,0,0,7,9,3392,0,1227,17,304,2070,4923,246,55,0,0,0,0,0,0,0,0,0,0,0,1,451,0,67,89,147,0,10,7,0,336,0,4,0,1,2,1,0,9,445,1745,146,29,42,131,0,15.0,43,110,7,18,366,-99.0,-99.0,-99.0,120,114.0,23,9,36,1,0,19,26,0,2,116,0,4.4,2.8,3.3,2.1,3.0,0.0,2.0,2.7,0.0,2.5,0.0,38,0,321,39,77,15,4,25,0,1,10,13,3,9,80,0,33.3,39.3,16.8,20.2,0.0,418.0,30.0,23.6,101.0,82.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,13,12,0,0,1,31,0,0,0,1,1,0,0,36,143,0,2,0,3,0,1,3,4,3,0,55,0,43,0,1,8,0,1,115,38.25,23.6,12.0,0.0,30.57894737,0,17.25,0.0,0.0,12.6,0.0,0.0,75.0,24.9,12.0,0.0,30.57894737,0.0,17.25,0.0,0.0,12.6,0.0,0.0,72650
134,2016,CLALLAM,4017,2108,7328,23415,36868,4330,2289,8703,21220,36542,0,0,0,0,0,0,0,0,0,11,881,0,445,564,257,1,92,78,0,0,21,0,3,6,14,2820,0,1206,11,333,1696,4359,217,62,0,0,0,0,0,0,0,0,0,0,0,4,436,0,51,88,168,0,5,5,0,441,0,11,0,1,2,1,0,3,374,1729,119,20,76,155,1,15.0,45,153,6,20,471,-99.0,-99.0,-99.0,120,123.0,15,3,51,0,0,11,29,2,3,114,0,3.9,2.3,1.2,1.9,0.0,0.0,2.1,2.5,3.0,1.7,0.0,45,0,443,29,74,14,8,21,0,1,4,18,0,7,73,0,24.5,30.3,31.4,17.6,0.0,216.0,29.8,28.4,0.0,57.3,0.0,0,0,0,0,0,0,0,0,0,0,0,2,54,6,9,9,0,0,3,46,0,0,0,0,0,0,0,30,165,3,3,0,5,4,1,9,1,3,3,37,0,26,0,1,4,0,6,81,0.0,54.6,166.33333330000002,67.5,54.0,0,9.9,0.0,30.0,125.25,0.0,156.33333330000002,0.0,73.1,245.66666669999998,141.0,62.71428571,0.0,9.9,0.0,30.0,184.75,0.0,235.66666669999998,73410
157,2012,CLARK,34825,18783,60608,104115,218333,36526,19853,59873,96665,212917,0,0,0,0,0,0,0,0,0,100,4200,0,2462,2594,1276,3,504,265,0,0,38,0,7,15,14,15708,16,5130,231,1449,9814,22287,605,143,179,12,344,682,8,65,9010,24,132,1673,12129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,632,23,41.0,245,630,109,134,2236,-99.0,-99.0,-99.0,1015,692.0,241,68,298,0,0,149,246,14,24,1041,1,3.8,2.9,3.2,2.0,0.0,0.0,2.9,2.4,5.6,7.6,1.0,329,1,734,246,576,144,40,156,5,8,60,122,25,49,625,16,32.7,38.2,31.0,25.5,52.4,257.2,25.0,27.8,73.6,87.8,36.3,50,13,63,80,0,9,1035,7,28,239,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,9,22,42,47,22,24,371,0,216,0,12,110,9,27,838,89.72222222,36.5,18.0,9.071428571,32.67857143,0,15.09090909,0.0,47.0,45.84,225.83333330000002,101.6363636,116.94444440000001,45.5,30.25,9.071428571,43.37931034,0.0,15.09090909,0.0,47.0,52.70833333,305.57142860000005,121.3636364,431250
158,2013,CLARK,34734,18736,60964,106006,220438,36416,19828,60254,98565,215062,0,0,0,0,0,0,0,0,0,78,3762,0,2129,2219,938,5,302,211,0,0,24,1,3,21,11,13902,3,4589,197,1091,8972,19582,567,139,0,0,0,0,0,0,0,0,0,0,0,12,1457,0,234,248,545,1,56,26,0,7242,0,12,1,1,3,1,0,111,1364,11689,326,49,420,665,19,42.0,267,680,108,187,2388,-99.0,-99.0,-99.0,825,720.0,205,67,328,0,0,185,319,12,12,1130,2,3.8,2.7,2.7,2.1,0.0,0.0,2.7,2.5,5.7,7.3,4.5,384,9,1325,252,645,172,39,164,2,2,52,165,40,41,694,17,33.3,34.2,40.8,22.0,66.0,265.0,22.9,26.2,75.7,68.2,49.2,0,0,0,0,0,0,0,0,0,0,0,2,216,38,62,71,0,2,2,312,0,0,0,1,0,0,13,171,908,3,15,6,32,6,19,44,51,29,19,402,0,262,0,28,124,13,32,960,90.03846154,44.5,16.15384615,17.78571429,38.51851852,0,40.43478261,0.0,22.07142857,64.625,125.5,32.07142857,115.07692309999999,43.2,27.46153846,20.28571429,31.92307692,0.0,32.72727273,0.0,32.57142857,72.60869565,143.875,37.07142857,435500
159,2013,GARFIELD,142,82,199,718,1143,122,98,223,662,1107,0,0,0,0,0,0,0,0,0,0,54,0,7,15,17,0,1,2,0,0,0,0,0,0,0,72,0,67,0,25,49,164,11,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,153,0,0,0,0,0,1,0,0,5,184,3,3,3,4,0,0.0,4,7,0,2,20,-99.0,-99.0,-99.0,16,8.0,3,0,2,0,0,2,1,0,0,8,0,2.3,1.8,0.0,1.1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2,1,5,2,5,3,0,0,0,0,0,0,0,0,3,0,35.6,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250
160,2014,CLARK,34836,18708,61690,108938,224171,36746,19759,60937,101187,218629,0,0,0,0,0,0,0,0,0,96,3768,0,1806,2227,943,4,172,235,0,0,40,1,7,10,17,12745,3,4588,208,1088,8232,18421,527,125,0,0,0,0,0,0,0,0,0,0,0,9,1500,0,230,255,513,0,37,27,0,5874,0,22,1,5,3,3,0,89,1274,10196,310,44,422,727,23,41.0,285,771,103,203,2575,-99.0,-99.0,-99.0,820,761.0,186,69,368,0,0,159,337,13,16,1148,0,3.9,2.9,3.6,2.3,0.0,0.0,2.6,2.6,5.8,7.2,0.0,324,7,1199,249,580,127,47,141,2,7,77,155,25,63,644,0,35.4,34.7,30.2,19.6,87.0,285.2,26.9,23.9,48.3,71.5,0.0,0,0,0,0,0,0,0,0,0,0,0,8,216,43,65,80,0,0,6,205,0,0,0,0,0,0,14,120,772,1,14,2,39,8,19,49,28,19,23,293,0,196,0,17,108,7,19,710,120.46666670000002,40.0,123.18181820000001,35.125,31.10344828,0,28.35714286,0.0,33.66666667,34.88461538,185.75,83.2,137.5714286,41.6,163.9090909,43.0,24.71428571,0.0,28.35714286,0.0,41.25,44.03846154,222.5,93.22222222,442800
161,2015,CLARK,34994,18798,62557,112332,228682,36861,19869,61826,104583,223138,0,0,0,0,0,0,0,0,0,120,3662,1,1878,2550,1010,5,243,294,0,0,91,0,6,9,4,15074,7,4612,189,1192,10088,20878,550,171,0,0,0,0,0,0,0,0,0,0,0,15,1370,2,295,195,519,1,20,28,0,5831,2,27,0,2,1,1,4,86,1346,10101,291,65,396,707,16,69.0,329,760,90,171,2538,-99.0,-99.0,-99.0,820,735.0,197,52,438,0,0,202,348,16,19,1272,0,4.0,3.0,3.6,2.4,0.0,0.0,3.2,2.6,6.9,4.7,0.0,317,5,1398,259,581,117,40,150,7,6,79,187,32,81,699,0,42.7,38.3,36.5,18.0,84.4,281.3,24.7,24.8,73.5,79.1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,244,45,61,59,0,0,5,291,1,0,1,0,0,0,19,145,883,3,7,0,28,12,13,40,46,26,24,297,0,154,0,18,102,10,25,702,99.6875,49.0,41.16666667,39.92307692,35.08333333,0,30.45833333,0.0,92.0,76.33333333,230.66666669999998,37.2,127.6875,57.3,53.41666667,51.23076923,38.0,0.0,30.45833333,0.0,122.6923077,92.73913043,261.0,58.9,451820
