,Year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,JST_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,Total Population
162,2016,CLARK,35270,18969,63217,115729,233184,37271,20035,62568,107952,227826,0,0,0,0,0,0,0,0,0,82,3594,0,1739,2753,1006,0,327,330,0,0,102,1,7,6,0,14697,6,4648,196,1172,9600,20517,608,160,0,0,0,0,0,0,0,0,0,0,0,5,1144,0,204,171,506,0,39,19,0,5264,0,23,1,4,3,0,0,57,897,8632,242,53,0,0,0,0,0,0,0,0,0,0,0,0,3,194,29,35,41,0,1,3,237,5,0,1,0,0,0,25,108,692,0,10,0,42,10,11,52,461010
185,2012,COLUMBIA,251,148,374,1281,2056,248,143,385,1268,2044,0,0,0,0,0,0,0,0,0,0,33,0,47,54,1,0,0,4,0,0,1,0,1,0,0,221,0,39,0,2,120,262,0,1,2,0,4,0,1,1,8,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
186,2013,COLUMBIA,246,139,376,1287,2049,249,138,386,1280,2051,0,0,0,0,0,0,0,0,0,1,39,0,51,31,0,0,0,2,0,0,0,0,0,0,0,249,0,46,0,0,166,295,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,2,4100
187,2014,COLUMBIA,245,136,381,1280,2043,240,144,392,1261,2037,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,89,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4080
188,2015,COLUMBIA,255,128,372,1296,2052,237,143,383,1276,2038,0,0,0,0,0,0,0,0,0,1,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,80,0,2,0,1,51,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4090
189,2016,COLUMBIA,252,125,356,1294,2027,232,143,370,1278,2023,0,0,0,0,0,0,0,0,0,1,16,0,20,46,3,0,0,5,0,0,0,0,0,0,0,183,0,25,0,3,116,211,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4050
212,2012,COWLITZ,7850,4017,13314,27009,52192,7914,4257,13197,25491,50858,0,0,0,0,0,0,0,0,0,51,1512,0,853,1152,739,3,106,114,0,0,13,0,4,4,8,5611,4,1905,66,851,3380,8367,258,100,105,5,98,333,1,26,1852,21,40,631,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,23,53,1,1,345,7,3,109,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,18,103050
213,2013,COWLITZ,7783,4021,13381,27158,52342,7861,4196,13295,25606,50958,0,0,0,0,0,0,0,0,0,21,1507,1,898,1355,711,5,105,119,0,0,15,0,1,3,10,6059,5,1927,61,890,3613,8876,282,164,0,0,0,0,0,0,0,0,0,0,0,4,845,0,175,135,458,3,30,40,0,1386,0,20,0,2,0,2,3,43,1004,4379,177,52,3,0,0,0,0,0,0,0,0,0,0,0,0,173,15,54,59,1,0,11,98,0,0,1,1,0,0,4,113,538,2,6,0,16,5,7,21,103300
214,2014,COWLITZ,7711,4041,13382,27426,52561,7807,4170,13268,25894,51139,0,0,0,0,0,0,0,0,0,22,1334,0,811,1004,751,3,63,93,0,0,11,0,0,0,5,5350,4,1702,34,862,3413,7914,264,102,0,0,0,0,0,0,0,0,0,0,0,2,775,0,129,122,515,1,16,23,0,1426,0,16,0,1,0,4,4,22,1149,4414,176,33,0,0,0,0,0,0,0,0,0,0,0,0,4,156,26,21,64,0,0,6,94,0,0,0,0,0,0,1,147,528,2,7,1,19,5,8,25,103700
215,2015,COWLITZ,7654,4066,13360,27725,52804,7766,4160,13229,26322,51476,0,0,0,0,0,0,0,0,0,29,1329,0,647,944,719,1,91,102,0,0,21,0,2,4,17,4841,2,1773,54,843,3075,7457,315,105,0,0,0,0,0,0,0,0,0,0,0,2,750,0,103,106,541,0,23,26,0,2132,0,24,0,4,0,5,1,26,966,4928,195,24,0,0,0,0,0,0,0,0,0,0,0,0,3,118,10,23,49,0,0,10,113,0,0,0,0,0,0,4,121,459,0,8,0,7,10,11,17,104280
216,2016,COWLITZ,7670,4090,13288,27999,53047,7806,4154,13160,26683,51803,0,0,0,0,0,0,0,0,0,33,1299,0,719,889,799,3,84,101,0,0,16,0,2,0,8,5005,21,1670,58,941,3219,7616,252,113,0,0,0,0,0,0,0,0,0,0,0,1,723,0,116,113,619,0,17,25,0,2398,0,15,0,0,1,3,13,43,979,5278,160,52,0,0,0,0,0,0,0,0,0,0,0,0,4,115,17,19,51,0,0,6,109,2,0,0,0,0,0,1,109,437,0,4,0,10,3,5,13,104850
240,2012,DOUGLAS,3306,1705,5179,9280,19470,3393,1810,5347,8879,19430,0,0,0,0,0,0,0,0,0,4,231,0,245,181,241,0,24,25,0,0,0,0,1,9,0,1147,0,346,7,257,686,1750,80,16,11,1,12,42,2,2,459,0,1,53,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,3,83,0,0,40,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,4,7,38900
241,2013,DOUGLAS,3304,1684,5247,9425,19659,3405,1795,5419,9000,19621,0,0,0,0,0,0,0,0,0,0,246,0,197,194,115,0,29,21,0,0,1,0,0,9,2,1205,0,360,8,145,777,1710,83,28,0,0,0,0,0,0,0,0,0,0,0,0,124,0,18,22,44,0,9,2,0,321,0,1,0,0,1,1,0,2,97,684,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,5,22,0,0,1,20,0,0,0,1,0,0,0,48,125,0,3,2,4,0,0,6,39280
242,2014,DOUGLAS,3307,1687,5278,9558,19830,3426,1831,5459,9155,19870,0,0,0,0,0,0,0,0,0,6,221,0,169,160,108,0,26,14,0,0,0,1,0,3,0,1133,0,339,6,125,766,1597,100,17,0,0,0,0,0,0,0,0,0,0,0,0,118,0,17,25,52,0,2,2,0,306,0,0,1,0,2,0,0,3,106,689,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,25,0,0,1,9,0,0,0,0,0,0,0,23,87,0,0,0,0,2,0,2,39700
243,2015,DOUGLAS,3281,1692,5276,9705,19955,3416,1823,5478,9318,20035,0,0,0,0,0,0,0,0,0,5,282,0,173,256,150,0,20,12,0,0,3,0,1,7,1,1194,0,407,4,192,736,1793,102,41,0,0,0,0,0,0,0,0,0,0,0,2,127,0,14,32,72,0,6,2,0,319,0,2,0,1,2,0,0,2,113,750,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,11,27,0,0,0,18,0,0,0,2,1,0,0,25,110,0,2,0,1,1,0,2,39990
244,2016,DOUGLAS,3327,1710,5318,9926,20281,3492,1843,5540,9564,20439,0,0,0,0,0,0,0,0,0,3,243,0,140,228,183,0,22,22,0,0,3,0,1,6,0,1191,1,380,2,224,796,1795,105,40,0,0,0,0,0,0,0,0,0,0,0,0,119,0,23,20,84,0,5,6,0,393,0,3,0,0,0,0,0,1,167,891,56,14,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,5,34,0,0,0,18,0,0,1,0,0,0,0,30,113,0,0,0,2,0,2,2,40720
261,2012,GARFIELD,143,81,200,724,1150,121,97,226,656,1100,0,0,0,0,0,0,0,0,0,1,21,0,16,17,23,0,0,4,0,0,0,0,0,0,1,76,1,37,0,32,42,145,12,7,1,1,1,5,0,1,89,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250
268,2012,FERRY,429,256,733,2259,3678,490,273,913,2298,3972,0,0,0,0,0,0,0,0,0,1,47,0,14,7,7,0,0,4,0,0,0,0,1,0,0,58,0,55,0,8,36,121,3,1,11,0,5,7,0,1,45,1,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7650
269,2013,FERRY,432,248,737,2269,3684,485,270,913,2297,3966,0,0,0,0,0,0,0,0,0,0,43,0,28,4,2,0,1,6,0,0,0,0,0,0,0,68,0,57,5,3,30,128,8,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,6,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7650
270,2014,FERRY,409,255,742,2284,3690,485,269,909,2307,3970,0,0,0,0,0,0,0,0,0,1,68,0,17,3,27,0,1,4,0,0,0,0,0,2,0,51,0,83,0,28,29,162,9,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,2,28,0,0,2,0,24,0,0,0,0,0,0,0,0,4,102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,7660
271,2015,FERRY,400,251,737,2304,3692,493,274,902,2350,4018,0,0,0,0,0,0,0,0,0,0,51,0,15,6,4,0,2,2,0,0,0,0,0,0,0,44,0,59,2,5,19,108,6,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,1,3,0,1,1,0,31,0,0,0,0,0,0,0,1,2,76,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,7710
272,2016,FERRY,403,247,737,2299,3686,481,275,900,2358,4014,0,0,0,0,0,0,0,0,0,1,11,0,5,0,0,0,0,4,0,0,0,0,0,0,0,10,0,15,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700
295,2012,FRANKLIN,9511,4081,13065,13261,39919,9930,4299,14410,13945,42581,0,0,0,0,0,0,0,0,0,11,892,0,520,800,546,2,56,132,0,0,30,0,1,3,5,3245,9,1308,46,666,1810,5219,250,106,74,0,50,166,1,4,1281,4,18,123,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,29,64,0,10,236,0,4,35,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,9,82500
296,2013,FRANKLIN,9691,4227,13367,13823,41110,10074,4491,14658,14467,43690,0,0,0,0,0,0,0,0,0,23,941,0,446,809,326,7,51,115,0,0,34,1,2,1,4,3131,4,1332,31,416,1764,4879,238,82,0,0,0,0,0,0,0,0,0,0,0,2,517,0,32,99,184,2,17,11,0,1043,0,20,0,0,5,0,0,12,344,2452,142,22,1,0,0,0,0,0,0,0,0,0,0,0,1,84,26,28,61,0,0,5,83,4,0,0,3,1,0,0,55,361,6,4,1,7,2,3,10,84800
297,2014,FRANKLIN,9831,4378,13498,14349,42057,10302,4507,14752,14983,44543,0,0,0,0,0,0,0,0,0,23,918,1,352,672,399,2,37,109,1,0,29,0,5,5,4,2735,5,1287,33,487,1615,4509,221,78,0,0,0,0,0,0,0,0,0,0,0,6,506,0,48,81,255,1,18,13,0,999,0,19,0,4,6,0,4,15,291,2427,139,22,0,0,0,0,0,0,0,0,0,0,0,0,0,69,11,21,68,0,2,3,72,0,0,0,1,0,0,6,91,356,4,8,0,2,2,0,4,86600
298,2015,FRANKLIN,9743,4458,13422,14686,42309,10195,4564,14689,15394,44841,0,0,0,0,0,0,0,0,0,37,909,0,370,715,440,2,49,124,0,0,27,0,5,4,4,2819,12,1315,40,538,1606,4672,246,82,0,0,0,0,0,0,0,0,0,0,0,2,488,0,45,101,281,0,22,13,0,1062,0,16,0,5,5,1,5,13,334,2581,159,29,0,0,0,0,0,0,0,0,0,0,0,0,3,61,15,27,58,1,0,3,71,3,0,2,0,0,0,1,63,318,4,6,0,5,1,1,6,87150
299,2016,FRANKLIN,9871,4587,13295,15249,43002,10354,4665,14623,16026,45668,0,0,0,0,0,0,0,0,0,25,853,0,380,809,503,2,68,113,0,0,6,0,2,11,8,3118,8,1207,37,608,1797,4933,222,89,0,0,0,0,0,0,0,0,0,0,0,2,478,0,64,122,317,0,10,18,0,942,0,5,0,0,12,0,18,14,315,2485,153,15,0,0,0,0,0,0,0,0,0,0,0,0,0,83,10,31,80,0,1,3,80,1,0,0,2,0,0,3,82,381,3,2,0,0,0,1,0,88670
321,2014,GARFIELD,140,82,198,718,1138,111,96,229,666,1102,0,0,0,0,0,0,0,0,0,0,43,0,9,16,13,0,3,2,0,0,0,0,0,0,0,58,0,47,0,19,30,124,2,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,7,0,0,1,0,173,0,0,0,0,0,0,0,0,1,199,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2240
322,2015,GARFIELD,146,84,193,730,1154,111,94,224,677,1106,0,0,0,0,0,0,0,0,0,1,50,0,9,21,18,0,1,12,0,0,0,0,0,2,0,72,0,82,0,29,40,183,18,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,6,0,0,1,0,94,0,0,0,0,0,0,0,0,5,126,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2260
323,2016,GARFIELD,158,79,155,742,1134,111,92,174,689,1066,0,0,0,0,0,0,0,0,0,1,33,0,31,22,19,0,0,8,0,0,1,0,0,0,0,88,0,53,0,26,34,167,11,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,11,0,0,0,0,99,0,1,0,0,0,0,0,0,5,130,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,2200
346,2012,GRANT,9179,4213,12785,18485,44662,9384,4481,14062,18412,46338,0,0,0,0,0,0,0,0,0,24,1174,1,910,1221,513,2,59,93,0,0,22,0,5,6,3,5288,0,1531,49,599,3022,7418,231,83,62,3,101,209,3,9,1381,13,24,326,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,23,46,0,13,159,0,2,72,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,4,15,91000
347,2013,GRANT,9308,4291,12732,18743,45072,9416,4504,14147,18662,46728,0,0,0,0,0,0,0,0,0,20,1151,0,1029,1114,333,4,86,82,0,0,21,0,2,3,5,5615,0,1470,44,430,3318,7515,211,92,0,0,0,0,0,0,0,0,0,0,0,6,604,1,148,83,181,2,25,25,0,1268,0,12,0,3,1,0,0,33,546,3086,114,34,3,0,0,0,0,0,0,0,0,0,0,0,2,69,32,31,37,0,0,3,61,4,0,2,0,0,0,3,101,351,0,6,2,13,3,2,18,91800
348,2014,GRANT,9414,4328,12807,19091,45639,9496,4516,14241,19007,47261,0,0,0,0,0,0,0,0,0,25,1247,0,880,1059,439,0,82,66,0,0,37,0,3,10,4,5130,0,1564,42,522,3042,7216,201,79,0,0,0,0,0,0,0,0,0,0,0,4,582,0,136,83,167,0,21,25,0,1066,0,30,0,1,2,2,0,28,556,2839,103,33,0,0,0,0,0,0,0,0,0,0,0,0,1,78,17,25,43,0,1,3,91,1,0,1,2,7,0,0,90,371,1,10,2,9,3,0,14,92900
349,2015,GRANT,9418,4391,12875,19432,46115,9477,4574,14292,19471,47815,0,0,0,0,0,0,0,0,0,26,1149,1,938,1097,420,2,54,67,0,0,26,0,4,6,1,5271,1,1476,45,487,3108,7234,224,65,0,0,0,0,0,0,0,0,0,0,0,3,530,0,141,88,166,0,14,24,0,1044,0,21,0,7,1,1,2,37,462,2696,121,34,0,0,0,0,0,0,0,0,0,0,0,0,0,86,38,15,40,0,0,3,90,0,0,0,0,0,0,3,105,386,1,5,0,16,1,0,17,93930
350,2016,GRANT,9456,4461,12748,19705,46369,9490,4631,14274,19845,48241,0,0,0,0,0,0,0,0,0,12,1202,0,935,962,486,1,70,53,0,0,31,1,3,5,4,5062,1,1524,33,569,3049,7155,229,78,0,0,0,0,0,0,0,0,0,0,0,1,555,0,158,88,209,0,20,24,0,921,0,16,0,1,0,0,0,13,398,2546,111,31,0,0,0,0,0,0,0,0,0,0,0,0,4,85,12,14,33,0,0,2,54,0,0,0,0,1,0,2,87,300,1,5,0,6,1,3,7,94610
373,2012,GRAYS HARBOR,5023,2556,8716,19309,35602,5079,2700,10587,19183,37548,0,0,0,0,0,0,0,0,0,8,535,0,436,314,527,0,43,91,0,0,6,0,2,4,5,2164,23,806,28,619,1335,3589,168,64,30,0,84,228,1,14,2218,7,22,364,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,18,0,11,136,0,0,50,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,14,73150
374,2013,GRAYS HARBOR,5008,2520,8788,19304,35620,5086,2661,10626,19207,37580,0,0,0,0,0,0,0,0,0,9,739,1,670,484,478,1,21,129,0,0,6,0,1,2,6,3046,1,1139,21,543,1839,4728,262,58,0,0,0,0,0,0,0,0,0,0,0,0,373,1,150,85,258,1,7,31,0,1732,0,1,0,2,1,2,2,17,624,3465,142,36,0,0,0,0,0,0,0,0,0,0,0,0,0,44,27,15,24,0,0,12,67,0,0,0,0,1,0,0,64,254,0,0,1,9,6,4,16,73200
375,2014,GRAYS HARBOR,4975,2488,8769,19387,35619,5043,2619,10638,19381,37681,0,0,0,0,0,0,0,0,0,9,895,0,552,421,442,1,34,136,0,0,9,0,1,3,5,2692,9,1299,33,543,1642,4534,255,87,0,0,0,0,0,0,0,0,0,0,0,6,439,0,102,83,222,0,9,40,0,1296,0,1,0,1,0,2,9,20,498,2920,138,54,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,7,29,0,0,7,62,0,0,0,1,0,0,0,23,170,0,1,0,6,3,5,9,73300
376,2015,GRAYS HARBOR,4948,2491,8586,19411,35437,5001,2616,10523,19533,37673,0,0,0,0,0,0,0,0,0,6,1020,1,604,492,514,0,29,122,0,0,8,0,1,0,5,2800,5,1496,38,643,1630,4939,345,119,0,0,0,0,0,0,0,0,0,0,0,2,491,0,99,106,306,0,4,19,0,1179,0,4,0,1,0,0,4,18,501,2988,201,53,0,0,0,0,0,0,0,0,0,0,0,0,1,35,5,5,20,0,0,11,81,0,0,0,0,2,0,0,35,198,1,2,0,8,1,2,9,73110
377,2016,GRAYS HARBOR,4960,2500,8185,19471,35117,4989,2622,10316,19776,37703,0,0,0,0,0,0,0,0,0,16,917,0,418,457,436,2,39,157,0,0,6,0,3,0,16,2483,1,1421,24,536,1527,4440,338,83,0,0,0,0,0,0,0,0,0,0,0,5,406,0,75,93,247,0,6,44,0,1052,0,2,0,2,0,5,1,11,532,2687,181,25,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,8,12,0,1,7,34,0,0,0,0,5,0,0,30,140,1,1,0,5,1,6,6,72820
400,2012,ISLAND,5344,2508,9583,22664,40096,5564,2665,10852,20172,39254,0,0,0,0,0,0,0,0,0,9,544,0,493,559,177,0,21,41,0,0,5,0,1,2,2,2332,1,698,4,216,1246,3246,105,36,41,0,27,49,2,2,634,5,1,99,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,11,0,4,68,1,0,14,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,79350
401,2013,ISLAND,5427,2424,9646,22797,40293,5640,2597,10908,20260,39407,0,0,0,0,0,0,0,0,0,4,474,0,431,476,79,1,32,20,0,0,6,0,0,2,2,2084,2,633,8,114,1132,2831,131,31,0,0,0,0,0,0,0,0,0,0,0,0,234,0,34,23,32,0,3,1,0,860,0,5,0,0,0,1,2,2,156,1435,68,14,0,0,0,0,0,0,0,0,0,0,0,0,2,29,6,3,10,0,0,2,30,0,0,0,0,0,0,1,21,105,1,0,0,2,1,0,3,79700
402,2014,ISLAND,5517,2392,9618,22909,40436,5697,2566,10919,20383,39564,0,0,0,0,0,0,0,0,0,3,429,0,366,433,56,0,14,21,0,0,8,0,1,2,6,1778,0,566,9,105,953,2449,105,43,0,0,0,0,0,0,0,0,0,0,0,1,216,0,25,26,24,0,3,6,0,549,0,8,0,0,0,0,0,10,142,1076,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,10,0,0,0,0,23,0,0,0,0,0,0,0,15,87,3,1,0,2,0,0,2,80000
403,2015,ISLAND,5579,2358,9593,23199,40728,5721,2523,10872,20756,39872,0,0,0,0,0,0,0,0,0,3,371,0,262,296,37,2,22,23,0,0,6,0,1,0,4,1342,0,487,11,92,746,1921,86,51,0,0,0,0,0,0,0,0,0,0,0,1,210,0,13,18,17,0,5,7,0,356,0,3,0,3,0,1,0,5,73,761,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,4,0,0,3,18,0,0,1,0,0,0,1,16,68,1,0,0,4,0,3,4,80600
404,2016,ISLAND,5661,2284,9512,24571,42029,5739,2422,10742,21978,40881,0,0,0,0,0,0,0,0,0,3,408,0,268,326,75,0,22,24,0,0,4,0,1,4,1,1378,0,559,4,113,755,2050,118,37,0,0,0,0,0,0,0,0,0,0,0,0,196,0,28,21,44,0,4,6,0,468,0,6,1,0,1,0,0,4,98,940,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,9,4,0,0,2,10,2,0,0,0,0,0,0,14,68,0,0,0,2,1,1,3,82910
427,2012,JEFFERSON,1312,785,2444,10690,15231,1348,794,2788,10014,14944,0,0,0,0,0,0,0,0,0,12,319,1,199,245,62,0,17,25,0,0,2,0,0,5,4,1101,0,415,2,78,625,1594,64,12,20,1,12,27,0,3,402,0,1,45,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,0,1,47,0,0,12,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,30175
428,2013,JEFFERSON,1292,764,2472,10757,15285,1345,786,2785,10075,14990,0,0,0,0,0,0,0,0,0,3,275,0,158,194,68,0,22,23,0,0,6,1,0,3,1,971,1,397,1,81,593,1449,89,11,0,0,0,0,0,0,0,0,0,0,0,0,119,0,24,20,46,0,4,1,0,369,0,2,2,0,0,0,0,1,79,718,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,13,0,0,2,23,0,0,0,0,0,0,0,12,72,1,6,0,2,1,0,3,30275
429,2014,JEFFERSON,1295,738,2483,10987,15503,1352,759,2795,10291,15197,0,0,0,0,0,0,0,0,0,5,300,0,251,211,62,0,13,33,0,0,13,0,0,2,2,1112,0,411,5,77,627,1600,63,13,0,0,0,0,0,0,0,0,0,0,0,2,127,0,23,12,42,0,0,6,0,353,0,1,0,0,1,0,0,2,63,672,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,14,0,0,0,25,0,0,0,0,0,0,1,9,66,0,2,0,3,1,0,4,30700
430,2015,JEFFERSON,1279,727,2477,11083,15566,1320,753,2775,10465,15314,0,0,0,0,0,0,0,0,0,4,249,0,184,178,59,1,7,15,0,0,4,0,1,1,2,833,0,337,4,70,455,1240,67,9,0,0,0,0,0,0,0,0,0,0,0,0,108,0,19,14,46,0,0,3,0,303,0,0,0,1,0,1,0,5,45,591,43,3,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,2,7,0,0,0,52,0,0,0,0,0,0,0,5,84,0,0,0,1,0,0,1,30880
