,Year,County,JRN_TOTAL,NIB_TOTAL,Total Population,Total Crime,Crime %
671,2012,PACIFIC,0,814,20970,814,3.88
672,2013,PACIFIC,11,948,21000,959,4.57
673,2014,PACIFIC,13,839,21100,852,4.04
674,2015,PACIFIC,17,660,21210,677,3.19
675,2016,PACIFIC,24,612,21180,636,3.0
698,2012,PEND OREILLE,0,1017,13100,1017,7.76
699,2013,PEND OREILLE,0,1073,13150,1073,8.16
700,2014,PEND OREILLE,0,885,13210,885,6.7
701,2015,PEND OREILLE,0,732,13240,732,5.53
702,2016,PEND OREILLE,20,667,13290,687,5.17
725,2012,PIERCE,0,70493,808200,70493,8.72
726,2013,PIERCE,2403,70552,814500,72955,8.96
727,2014,PIERCE,2024,68336,821300,70360,8.57
728,2015,PIERCE,1709,68571,830120,70280,8.47
729,2016,PIERCE,1536,71961,844490,73497,8.7
752,2012,SAN JUAN,0,390,15925,390,2.45
753,2013,SAN JUAN,12,363,16000,375,2.34
754,2014,SAN JUAN,4,276,16100,280,1.74
755,2015,SAN JUAN,9,359,16180,368,2.27
756,2016,SAN JUAN,11,331,16320,342,2.1
779,2012,SKAGIT,0,10859,117950,10859,9.21
780,2013,SKAGIT,494,10543,118600,11037,9.31
781,2014,SKAGIT,438,9433,119500,9871,8.26
782,2015,SKAGIT,462,10678,120620,11140,9.24
784,2016,SKAGIT,343,10336,122270,10679,8.73
805,2012,SKAMANIA,0,367,11275,367,3.25
806,2013,SKAMANIA,13,306,11300,319,2.82
807,2014,SKAMANIA,9,283,11370,292,2.57
808,2015,SKAMANIA,8,258,11430,266,2.33
809,2016,SKAMANIA,6,187,11500,193,1.68
833,2012,SNOHOMISH,0,3942,722900,3942,0.55
834,2013,SNOHOMISH,334,5450,730500,5784,0.79
835,2014,SNOHOMISH,290,6214,741000,6504,0.88
836,2015,SNOHOMISH,469,12432,757600,12901,1.7
837,2016,SNOHOMISH,1404,46965,772860,48369,6.26
859,2012,SPOKANE,0,1663,475600,1663,0.35
860,2013,SPOKANE,60,1591,480000,1651,0.34
861,2014,SPOKANE,63,1633,484500,1696,0.35
862,2015,SPOKANE,50,1732,488310,1782,0.36
863,2016,SPOKANE,305,19324,492530,19629,3.99
886,2012,STEVENS,0,1962,43700,1962,4.49
887,2013,STEVENS,38,1720,43800,1758,4.01
888,2014,STEVENS,17,1865,43900,1882,4.29
889,2015,STEVENS,21,1828,44030,1849,4.2
890,2016,STEVENS,9,1579,44100,1588,3.6
913,2012,THURSTON,0,6205,256800,6205,2.42
914,2013,THURSTON,275,5488,260100,5763,2.22
915,2014,THURSTON,606,14868,264000,15474,5.86
916,2015,THURSTON,469,15941,267410,16410,6.14
917,2016,THURSTON,380,16366,272690,16746,6.14
940,2012,WAHKIAKUM,0,61,4025,61,1.52
941,2013,WAHKIAKUM,0,78,4020,78,1.94
942,2014,WAHKIAKUM,1,112,4010,113,2.82
943,2015,WAHKIAKUM,15,142,3980,157,3.94
944,2016,WAHKIAKUM,2,137,4000,139,3.48
967,2012,WALLA WALLA,0,1354,59100,1354,2.29
968,2013,WALLA WALLA,208,4163,59500,4371,7.35
969,2014,WALLA WALLA,194,4274,60150,4468,7.43
970,2015,WALLA WALLA,141,4259,60650,4400,7.25
971,2016,WALLA WALLA,100,4387,60730,4487,7.39
994,2012,WHATCOM,0,11155,203500,11155,5.48
995,2013,WHATCOM,517,10903,205800,11420,5.55
996,2014,WHATCOM,532,14629,207600,15161,7.3
997,2015,WHATCOM,427,13437,209790,13864,6.61
998,2016,WHATCOM,315,14348,212540,14663,6.9
1021,2012,WHITMAN,0,2449,45950,2449,5.33
1022,2013,WHITMAN,50,1905,46000,1955,4.25
1023,2014,WHITMAN,80,2149,46500,2229,4.79
1024,2015,WHITMAN,60,1771,47250,1831,3.88
1025,2016,WHITMAN,53,1385,47940,1438,3.0
1048,2012,YAKIMA,0,17393,246000,17393,7.07
1049,2013,YAKIMA,947,18600,247250,19547,7.91
1050,2014,YAKIMA,930,17643,248800,18573,7.47
1051,2015,YAKIMA,991,19178,249970,20169,8.07
1052,2016,YAKIMA,889,19713,250900,20602,8.21
