,Year,County,JRN_TOTAL,NIB_TOTAL,Total Male,Total Female,Total Population,Total Crime,Male Crime %,Female Crime %
482,2013,KITSAP,395,15049,128462,125538,254000,15444,12.02,12.3
483,2014,KITSAP,297,14801,129449,126451,255900,15098,11.66,11.94
484,2015,KITSAP,332,14379,130637,127563,258200,14711,11.26,11.53
485,2016,KITSAP,267,14499,132797,129793,262590,14766,11.12,11.38
509,2012,KITTITAS,0,3082,21082,20418,41500,3082,14.62,15.09
510,2013,KITTITAS,103,2847,21296,20604,41900,2950,13.85,14.32
511,2014,KITTITAS,101,2582,21408,20692,42100,2683,12.53,12.97
512,2015,KITTITAS,74,2411,21773,20897,42670,2485,11.41,11.89
513,2016,KITTITAS,71,2270,22427,21283,43710,2341,10.44,11.0
536,2012,KLICKITAT,0,720,10428,10172,20600,720,6.9,7.08
537,2013,KLICKITAT,48,709,10468,10232,20700,757,7.23,7.4
538,2014,KLICKITAT,77,605,10533,10317,20850,682,6.47,6.61
539,2015,KLICKITAT,30,790,10632,10368,21000,820,7.71,7.91
540,2016,KLICKITAT,26,592,10798,10472,21270,618,5.72,5.9
563,2012,LEWIS,0,4881,38193,38107,76300,4881,12.78,12.81
564,2013,LEWIS,256,4101,38109,38091,76200,4357,11.43,11.44
565,2014,LEWIS,224,4356,38184,38116,76300,4580,11.99,12.02
566,2015,LEWIS,278,4265,38438,38222,76660,4543,11.82,11.89
567,2016,LEWIS,245,4592,38609,38281,76890,4837,12.53,12.64
590,2012,LINCOLN,0,442,5335,5340,10675,442,8.28,8.28
591,2013,LINCOLN,47,334,5329,5346,10675,381,7.15,7.13
592,2014,LINCOLN,28,356,5352,5348,10700,384,7.17,7.18
593,2015,LINCOLN,34,361,5370,5350,10720,395,7.36,7.38
594,2016,LINCOLN,17,364,5327,5313,10640,381,7.15,7.17
617,2012,MASON,0,4692,31719,29731,61450,4692,14.79,15.78
618,2013,MASON,84,3925,31872,29928,61800,4009,12.58,13.4
619,2014,MASON,70,3866,31974,30026,62000,3936,12.31,13.11
620,2015,MASON,87,3575,32084,30116,62200,3662,11.41,12.16
621,2016,MASON,47,3192,32157,30163,62320,3239,10.07,10.74
644,2012,OKANOGAN,0,1782,20930,20495,41425,1782,8.51,8.69
645,2013,OKANOGAN,102,1802,20954,20546,41500,1904,9.09,9.27
646,2014,OKANOGAN,93,1667,21101,20599,41700,1760,8.34,8.54
647,2015,OKANOGAN,62,1478,21195,20665,41860,1540,7.27,7.45
648,2016,OKANOGAN,62,1285,21172,20558,41730,1347,6.36,6.55
671,2012,PACIFIC,0,814,10549,10421,20970,814,7.72,7.81
672,2013,PACIFIC,11,948,10570,10430,21000,959,9.07,9.19
673,2014,PACIFIC,13,839,10635,10465,21100,852,8.01,8.14
674,2015,PACIFIC,17,660,10745,10465,21210,677,6.3,6.47
675,2016,PACIFIC,24,612,10754,10426,21180,636,5.91,6.1
