Date,Sales,Excise Tax Due,Sales (Shelf Price)
10/15/2014,434008.95,86801.79,347207.16
10/16/2014,415092.875,83018.575,332074.3
10/17/2014,681105.5125,136221.1025,544884.41
10/18/2014,457206.7125,91441.3425,365765.37
10/19/2014,261471.6125,52294.3225,209177.29
10/20/2014,319416.3,63883.26,255533.04
10/21/2014,483507.725,96701.545,386806.18
10/22/2014,623705.6125,124741.1225,498964.49
10/23/2014,761519.2125,152303.8425,609215.37
10/24/2014,757449.7125,151489.9425,605959.77
10/25/2014,482469.025,96493.805,385975.22
10/26/2014,345959.8,69191.96,276767.84
10/27/2014,493451.2125,98690.2425,394760.97
10/28/2014,452693.9375,90538.7875,362155.15
10/29/2014,776493.6375,155298.7275,621194.91
10/30/2014,749580.175,149916.035,599664.14
10/31/2014,1540789.438,308157.8875,1232631.55
11/1/2014,943186.175,188637.235,754548.94
11/2/2014,443478.6375,88695.7275,354782.91
11/3/2014,436510.5625,87302.1125,349208.45
11/4/2014,512844.1375,102568.8275,410275.31
11/5/2014,585578.2125,117115.6425,468462.57
11/6/2014,1162544.5,232508.9,930035.6
11/7/2014,1080331.138,216066.2275,864264.91
11/8/2014,863261.4625,172652.2925,690609.17
11/9/2014,236456.975,47291.395,189165.58
11/10/2014,473807.3,94761.46,379045.84
11/11/2014,574110.0125,114822.0025,459288.01
11/12/2014,712204.375,142440.875,569763.5
11/13/2014,782264.575,156452.915,625811.66
11/14/2014,822701.975,164540.395,658161.58
11/15/2014,571732.3625,114346.4725,457385.89
11/16/2014,331667.2125,66333.4425,265333.77
11/17/2014,536544.8875,107308.9775,429235.91
11/18/2014,496349.2,99269.84,397079.36
11/19/2014,650302.775,130060.555,520242.22
11/20/2014,213388.325,42677.665,170710.66
11/21/2014,766937.3,153387.46,613549.84
11/22/2014,614448.0375,122889.6075,491558.43
11/23/2014,324780.1125,64956.0225,259824.09
11/24/2014,615915.6375,123183.1275,492732.51
11/25/2014,934807.125,186961.425,747845.7
11/26/2014,1255840.288,251168.0575,1004672.23
11/27/2014,185975.075,37195.015,148780.06
11/28/2014,788430.075,157686.015,630744.06
11/29/2014,459770.7375,91954.1475,367816.59
11/30/2014,1727117.713,345423.5425,1381694.17
12/1/2014,560138.575,112027.715,448110.86
12/2/2014,531840.275,106368.055,425472.22
12/3/2014,544405.6875,108881.1375,435524.55
12/4/2014,793456.2625,158691.2525,634765.01
12/5/2014,869281.6875,173856.3375,695425.35
12/6/2014,545899.4375,109179.8875,436719.55
12/7/2014,298100.8875,59620.1775,238480.71
12/8/2014,526777.8625,105355.5725,421422.29
12/9/2014,679770.4875,135954.0975,543816.39
12/10/2014,770339.175,154067.835,616271.34
12/11/2014,945677.0125,189135.4025,756541.61
12/12/2014,907837.25,181567.45,726269.8
12/13/2014,596509.975,119301.995,477207.98
12/14/2014,307372.575,61474.515,245898.06
12/15/2014,570317.675,114063.535,456254.14
12/16/2014,560758.2375,112151.6475,448606.59
12/17/2014,686488.05,137297.61,549190.44
12/18/2014,934345.525,186869.105,747476.42
12/19/2014,881604.1625,176320.8325,705283.33
12/20/2014,714021.4875,142804.2975,571217.19
12/21/2014,458484.875,91696.975,366787.9
12/22/2014,890047.4875,178009.4975,712037.99
12/23/2014,771123.25,154224.65,616898.6
12/24/2014,638929.6875,127785.9375,511143.75
12/25/2014,95713.45,19142.69,76570.76
12/26/2014,733290.125,146658.025,586632.1
12/27/2014,567937.375,113587.475,454349.9
12/28/2014,513929.7375,102785.9475,411143.79
12/29/2014,847470.7375,169494.1475,677976.59
12/30/2014,667243.15,133448.63,533794.52
12/31/2014,1947348.3,389469.66,1557878.64
1/1/2015,371051.6375,74210.3275,296841.31
1/2/2015,942576.5375,188515.3075,754061.23
1/3/2015,603120.65,120624.13,482496.52
1/4/2015,415284.4875,83056.8975,332227.59
1/5/2015,751911.8125,150382.3625,601529.45
1/6/2015,659217.175,131843.435,527373.74
1/7/2015,700127.8,140025.56,560102.24
1/8/2015,674967.075,134993.415,539973.66
1/9/2015,854260.1,170852.02,683408.08
1/10/2015,552940.4375,110588.0875,442352.35
1/11/2015,360755.975,72151.195,288604.78
1/12/2015,842651.2,168530.24,674120.96
1/13/2015,658063.8375,131612.7675,526451.07
1/14/2015,717302.7375,143460.5475,573842.19
1/15/2015,823689.5,164737.9,658951.6
1/16/2015,1110106.825,222021.365,888085.46
1/17/2015,717178.7125,143435.7425,573742.97
1/18/2015,342537.1875,68507.4375,274029.75
1/19/2015,776433.7875,155286.7575,621147.03
1/20/2015,632104.7375,126420.9475,505683.79
1/21/2015,682158.6625,136431.7325,545726.93
1/22/2015,916012.225,183202.445,732809.78
1/23/2015,902116.2,180423.24,721692.96
1/24/2015,668258.925,133651.785,534607.14
1/25/2015,437428.925,87485.785,349943.14
1/26/2015,896468.6625,179293.7325,717174.93
1/27/2015,780198.075,156039.615,624158.46
1/28/2015,859472.1125,171894.4225,687577.69
1/29/2015,948163.775,189632.755,758531.02
1/30/2015,978419.3,195683.86,782735.44
1/31/2015,2001026.25,400205.25,1600821
2/1/2015,266148.1875,53229.6375,212918.55
2/2/2015,562370.85,112474.17,449896.68
2/3/2015,784639.3625,156927.8725,627711.49
2/4/2015,860328.925,172065.785,688263.14
2/5/2015,986540.75,197308.15,789232.6
2/6/2015,1084376.625,216875.325,867501.3
2/7/2015,693073.75,138614.75,554459
2/8/2015,561056.9125,112211.3825,448845.53
2/9/2015,960332.6125,192066.5225,768266.09
2/10/2015,899546.0625,179909.2125,719636.85
2/11/2015,1443648.888,288729.7775,1154919.11
2/12/2015,1274920.5,254984.1,1019936.4
2/13/2015,1189052.513,237810.5025,951242.01
2/14/2015,997990.5125,199598.1025,798392.41
2/15/2015,566364.2625,113272.8525,453091.41
2/16/2015,892155.575,178431.115,713724.46
2/17/2015,819871.5875,163974.3175,655897.27
2/18/2015,1056142.425,211228.485,844913.94
2/19/2015,1065013.988,213002.7975,852011.19
2/20/2015,1341117.613,268223.5225,1072894.09
2/21/2015,868932.025,173786.405,695145.62
2/22/2015,722465.825,144493.165,577972.66
2/23/2015,1073855.038,214771.0075,859084.03
2/24/2015,1263418.95,252683.79,1010735.16
2/25/2015,1195949.363,239189.8725,956759.49
2/26/2015,1236374.65,247274.93,989099.72
2/27/2015,1943311.3,388662.26,1554649.04
2/28/2015,1867909.288,373581.8575,1494327.43
3/1/2015,1049978.113,209995.6225,839982.49
3/2/2015,1217866.65,243573.33,974293.32
3/3/2015,635718.3375,127143.6675,508574.67
