,Year,County,NIB_FSEX,NIB_NFSEX,NIB_HTRFFCKNG,JRN_FSEX,JRN_NFSEX,Total Population,Total Crime,Crime %
564,2013,LEWIS,66,6,0,4,0,76200,76,0.1
565,2014,LEWIS,83,4,0,11,0,76300,98,0.13
566,2015,LEWIS,70,5,0,8,1,76660,84,0.11
567,2016,LEWIS,59,7,0,3,3,76890,72,0.09
590,2012,LINCOLN,6,1,0,0,0,10675,7,0.07
591,2013,LINCOLN,8,0,0,1,0,10675,9,0.08
592,2014,LINCOLN,13,2,0,1,0,10700,16,0.15
593,2015,LINCOLN,7,0,0,1,0,10720,8,0.07
594,2016,LINCOLN,5,2,0,1,2,10640,10,0.09
617,2012,MASON,84,1,0,0,0,61450,85,0.14
618,2013,MASON,53,3,0,2,0,61800,58,0.09
619,2014,MASON,62,4,0,3,0,62000,69,0.11
620,2015,MASON,45,0,0,0,0,62200,45,0.07
621,2016,MASON,70,3,0,3,0,62320,76,0.12
644,2012,OKANOGAN,13,2,0,0,0,41425,15,0.04
645,2013,OKANOGAN,15,1,0,0,0,41500,16,0.04
646,2014,OKANOGAN,12,2,0,0,0,41700,14,0.03
647,2015,OKANOGAN,15,0,0,2,0,41860,17,0.04
648,2016,OKANOGAN,11,1,0,0,0,41730,12,0.03
671,2012,PACIFIC,9,2,0,0,0,20970,11,0.05
672,2013,PACIFIC,18,1,0,0,0,21000,19,0.09
673,2014,PACIFIC,17,4,0,1,0,21100,22,0.1
674,2015,PACIFIC,14,0,0,0,0,21210,14,0.07
675,2016,PACIFIC,10,1,0,1,0,21180,12,0.06
698,2012,PEND OREILLE,9,0,0,0,0,13100,9,0.07
699,2013,PEND OREILLE,8,0,0,0,0,13150,8,0.06
700,2014,PEND OREILLE,14,0,0,0,0,13210,14,0.11
701,2015,PEND OREILLE,15,0,0,0,0,13240,15,0.11
702,2016,PEND OREILLE,14,1,0,0,0,13290,15,0.11
725,2012,PIERCE,753,94,0,0,0,808200,847,0.1
726,2013,PIERCE,749,84,0,47,6,814500,886,0.11
727,2014,PIERCE,794,85,0,32,3,821300,914,0.11
728,2015,PIERCE,854,80,0,31,6,830120,971,0.12
729,2016,PIERCE,893,79,0,40,8,844490,1020,0.12
752,2012,SAN JUAN,6,0,0,0,0,15925,6,0.04
753,2013,SAN JUAN,5,1,0,0,0,16000,6,0.04
754,2014,SAN JUAN,3,1,0,0,0,16100,4,0.02
755,2015,SAN JUAN,3,2,0,0,0,16180,5,0.03
756,2016,SAN JUAN,8,1,0,0,0,16320,9,0.06
779,2012,SKAGIT,79,7,0,0,0,117950,86,0.07
780,2013,SKAGIT,66,6,0,3,0,118600,75,0.06
781,2014,SKAGIT,100,4,0,10,0,119500,114,0.1
782,2015,SKAGIT,65,6,0,5,0,120620,76,0.06
784,2016,SKAGIT,59,3,0,4,0,122270,66,0.05
805,2012,SKAMANIA,17,0,0,0,0,11275,17,0.15
806,2013,SKAMANIA,10,0,0,0,0,11300,10,0.09
807,2014,SKAMANIA,5,0,0,1,0,11370,6,0.05
808,2015,SKAMANIA,12,0,0,1,0,11430,13,0.11
809,2016,SKAMANIA,4,0,0,1,0,11500,5,0.04
833,2012,SNOHOMISH,40,12,0,0,0,722900,52,0.01
834,2013,SNOHOMISH,56,5,0,9,0,730500,70,0.01
835,2014,SNOHOMISH,71,6,0,9,0,741000,86,0.01
836,2015,SNOHOMISH,112,16,0,7,1,757600,136,0.02
837,2016,SNOHOMISH,461,33,0,17,2,772860,513,0.07
859,2012,SPOKANE,13,0,0,0,0,475600,13,0.0
860,2013,SPOKANE,8,0,0,0,0,480000,8,0.0
861,2014,SPOKANE,19,0,0,0,0,484500,19,0.0
862,2015,SPOKANE,29,1,0,0,0,488310,30,0.01
863,2016,SPOKANE,293,11,0,3,0,492530,307,0.06
886,2012,STEVENS,35,0,0,0,0,43700,35,0.08
887,2013,STEVENS,44,0,0,0,0,43800,44,0.1
888,2014,STEVENS,46,0,0,0,0,43900,46,0.1
889,2015,STEVENS,50,0,0,0,0,44030,50,0.11
890,2016,STEVENS,32,0,0,0,0,44100,32,0.07
913,2012,THURSTON,98,7,0,0,0,256800,105,0.04
914,2013,THURSTON,83,17,0,4,0,260100,104,0.04
915,2014,THURSTON,199,23,0,6,1,264000,229,0.09
916,2015,THURSTON,217,10,0,3,1,267410,231,0.09
917,2016,THURSTON,176,11,0,3,0,272690,190,0.07
940,2012,WAHKIAKUM,2,1,0,0,0,4025,3,0.07
941,2013,WAHKIAKUM,5,1,0,0,0,4020,6,0.15
942,2014,WAHKIAKUM,0,0,0,0,0,4010,0,0.0
943,2015,WAHKIAKUM,2,0,0,0,0,3980,2,0.05
