RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
413358,9/1/2014 - 9/30/2014," $146,761 "," $36,690 "
415662,9/1/2014 - 9/30/2014," $72,333 "," $18,083 "
RETAILERS PERIOD TOTAL,9/1/2014 - 9/30/2014," $5,806,226 "," $1,451,557 "
414418,10/1/2014 - 10/31/2014," $6,275 "," $1,569 "
414664,10/1/2014 - 10/31/2014," $178,331 "," $44,583 "
414417,10/1/2014 - 10/31/2014," $304,240 "," $76,060 "
412495,10/1/2014 - 10/31/2014," $38,401 "," $9,600 "
415314,10/1/2014 - 10/31/2014," $119,410 "," $29,852 "
417511,10/1/2014 - 10/31/2014," $7,308 "," $1,827 "
413739,10/1/2014 - 10/31/2014," $231,222 "," $57,806 "
415037,10/1/2014 - 10/31/2014," $50,581 "," $12,645 "
413762,10/1/2014 - 10/31/2014," $3,137 ", $784 
415361,10/1/2014 - 10/31/2014," $4,414 "," $1,103 "
413319,10/1/2014 - 10/31/2014," $632,878 "," $158,220 "
415526,10/1/2014 - 10/31/2014," $5,368 "," $1,342 "
414225,10/1/2014 - 10/31/2014," $186,470 "," $46,617 "
414295,10/1/2014 - 10/31/2014," $17,045 "," $4,261 "
415130,10/1/2014 - 10/31/2014," $132,990 "," $33,248 "
414574,10/1/2014 - 10/31/2014," $49,107 "," $12,277 "
413347,10/1/2014 - 10/31/2014," $272,523 "," $68,131 "
413530,10/1/2014 - 10/31/2014," $18,657 "," $4,664 "
413544,10/1/2014 - 10/31/2014," $58,054 "," $14,514 "
414876,10/1/2014 - 10/31/2014," $306,267 "," $76,567 "
414723,10/1/2014 - 10/31/2014," $398,043 "," $99,511 "
414533,10/1/2014 - 10/31/2014," $470,815 "," $117,704 "
413732,10/1/2014 - 10/31/2014," $780,535 "," $195,134 "
412466,10/1/2014 - 10/31/2014," $35,247 "," $8,812 "
414785,10/1/2014 - 10/31/2014," $45,122 "," $11,280 "
414889,10/1/2014 - 10/31/2014," $98,119 "," $24,530 "
413819,10/1/2014 - 10/31/2014," $234,449 "," $58,612 "
414817,10/1/2014 - 10/31/2014," $11,781 "," $2,945 "
415094,10/1/2014 - 10/31/2014," $40,652 "," $10,163 "
414256,10/1/2014 - 10/31/2014," $119,232 "," $29,808 "
413886,10/1/2014 - 10/31/2014," $123,395 "," $30,849 "
413801,10/1/2014 - 10/31/2014," $29,730 "," $7,432 "
415470,10/1/2014 - 10/31/2014," $120,706 "," $30,176 "
415229,10/1/2014 - 10/31/2014," $144,668 "," $36,167 "
413414,10/1/2014 - 10/31/2014," $87,106 "," $21,777 "
413700,10/1/2014 - 10/31/2014," $29,971 "," $7,493 "
412066,10/1/2014 - 10/31/2014," $28,987 "," $7,247 "
413596,10/1/2014 - 10/31/2014," $96,986 "," $24,247 "
414250,10/1/2014 - 10/31/2014," $31,295 "," $7,824 "
414755,10/1/2014 - 10/31/2014," $28,109 "," $7,027 "
414280,10/1/2014 - 10/31/2014," $100,599 "," $25,150 "
413481,10/1/2014 - 10/31/2014," $119,069 "," $29,767 "
413366,10/1/2014 - 10/31/2014," $20,163 "," $5,041 "
353260,10/1/2014 - 10/31/2014," $59,778 "," $14,945 "
413372,10/1/2014 - 10/31/2014," $201,778 "," $50,445 "
414292,10/1/2014 - 10/31/2014, $175 , $44 
413843,10/1/2014 - 10/31/2014," $53,928 "," $13,482 "
414550,10/1/2014 - 10/31/2014," $7,318 "," $1,830 "
415001,10/1/2014 - 10/31/2014," $23,275 "," $5,819 "
412370,10/1/2014 - 10/31/2014," $55,364 "," $13,841 "
414060,10/1/2014 - 10/31/2014," $72,062 "," $18,015 "
413980,10/1/2014 - 10/31/2014," $89,660 "," $22,415 "
414430,10/1/2014 - 10/31/2014," $53,200 "," $13,300 "
415575,10/1/2014 - 10/31/2014," $39,539 "," $9,885 "
413683,10/1/2014 - 10/31/2014," $735,684 "," $183,921 "
415112,10/1/2014 - 10/31/2014," $87,710 "," $21,928 "
410798,10/1/2014 - 10/31/2014," $138,971 "," $34,743 "
415083,10/1/2014 - 10/31/2014," $57,078 "," $14,269 "
413358,10/1/2014 - 10/31/2014," $175,812 "," $43,953 "
415662,10/1/2014 - 10/31/2014," $77,480 "," $19,370 "
RETAILERS PERIOD TOTAL,10/1/2014 - 10/31/2014," $7,746,266 "," $1,936,566 "
414533,11/1/2014 - 11/30/2014," $569,615 "," $142,404 "
414550,11/1/2014 - 11/30/2014," $9,336 "," $2,334 "
414755,11/1/2014 - 11/30/2014," $31,699 "," $7,925 "
414785,11/1/2014 - 11/30/2014," $238,752 "," $59,688 "
414723,11/1/2014 - 11/30/2014," $336,932 "," $84,233 "
413541,11/1/2014 - 11/30/2014, $591 , $148 
414250,11/1/2014 - 11/30/2014," $23,133 "," $5,783 "
415001,11/1/2014 - 11/30/2014," $32,742 "," $8,186 "
414280,11/1/2014 - 11/30/2014," $79,028 "," $19,757 "
412066,11/1/2014 - 11/30/2014," $24,360 "," $6,090 "
415094,11/1/2014 - 11/30/2014," $74,370 "," $18,593 "
415314,11/1/2014 - 11/30/2014," $117,489 "," $29,372 "
415206,11/1/2014 - 11/30/2014," $13,322 "," $3,331 "
415037,11/1/2014 - 11/30/2014," $72,292 "," $18,073 "
