RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
RETAILERS PERIOD TOTAL,12/1/2015 - 12/31/2015," $40,195,610 "," $14,872,376 "
414884,1/1/2016 - 1/31/2016," $331,604 "," $122,694 "
415470,1/1/2016 - 1/31/2016," $290,671 "," $107,548 "
413314,1/1/2016 - 1/31/2016," $185,037 "," $68,464 "
414574,1/1/2016 - 1/31/2016," $136,784 "," $50,610 "
84154,1/1/2016 - 1/31/2016," $91,853 "," $33,986 "
413310,1/1/2016 - 1/31/2016," $97,000 "," $35,890 "
415083,1/1/2016 - 1/31/2016," $323,403 "," $119,659 "
415526,1/1/2016 - 1/31/2016," $158,071 "," $58,486 "
414550,1/1/2016 - 1/31/2016," $89,442 "," $33,094 "
414733,1/1/2016 - 1/31/2016," $127,394 "," $47,136 "
413586,1/1/2016 - 1/31/2016," $124,357 "," $46,012 "
413700,1/1/2016 - 1/31/2016," $29,750 "," $11,008 "
413821,1/1/2016 - 1/31/2016," $95,171 "," $35,213 "
402107,1/1/2016 - 1/31/2016," $96,097 "," $35,556 "
414225,1/1/2016 - 1/31/2016," $269,843 "," $99,842 "
410332,1/1/2016 - 1/31/2016," $188,631 "," $69,793 "
413530,1/1/2016 - 1/31/2016," $22,009 "," $8,144 "
415253,1/1/2016 - 1/31/2016," $392,028 "," $145,050 "
414902,1/1/2016 - 1/31/2016," $17,444 "," $6,454 "
414558,1/1/2016 - 1/31/2016," $15,109 "," $5,590 "
413802,1/1/2016 - 1/31/2016," $99,630 "," $36,863 "
415361,1/1/2016 - 1/31/2016," $30,306 "," $11,213 "
415504,1/1/2016 - 1/31/2016," $576,518 "," $213,312 "
413901,1/1/2016 - 1/31/2016," $113,891 "," $42,140 "
72437,1/1/2016 - 1/31/2016," $197,168 "," $72,952 "
413729,1/1/2016 - 1/31/2016," $83,900 "," $31,043 "
414211,1/1/2016 - 1/31/2016," $36,446 "," $13,485 "
415243,1/1/2016 - 1/31/2016," $220,861 "," $81,719 "
415567,1/1/2016 - 1/31/2016," $102,039 "," $37,754 "
415662,1/1/2016 - 1/31/2016," $140,609 "," $52,025 "
413319,1/1/2016 - 1/31/2016," $267,310 "," $98,905 "
420123,1/1/2016 - 1/31/2016," $25,724 "," $9,518 "
414970,1/1/2016 - 1/31/2016," $170,767 "," $63,184 "
415575,1/1/2016 - 1/31/2016," $172,103 "," $63,678 "
413366,1/1/2016 - 1/31/2016," $73,644 "," $27,248 "
414060,1/1/2016 - 1/31/2016," $219,463 "," $81,201 "
415094,1/1/2016 - 1/31/2016," $198,648 "," $73,500 "
413819,1/1/2016 - 1/31/2016," $415,333 "," $153,673 "
414817,1/1/2016 - 1/31/2016," $434,982 "," $160,943 "
413940,1/1/2016 - 1/31/2016," $380,795 "," $140,894 "
413358,1/1/2016 - 1/31/2016," $615,117 "," $227,593 "
413803,1/1/2016 - 1/31/2016," $188,643 "," $69,798 "
413806,1/1/2016 - 1/31/2016," $9,566 "," $3,540 "
414491,1/1/2016 - 1/31/2016," $222,670 "," $82,388 "
413529,1/1/2016 - 1/31/2016," $15,829 "," $5,857 "
414503,1/1/2016 - 1/31/2016," $226,827 "," $83,926 "
413374,1/1/2016 - 1/31/2016," $199,589 "," $73,848 "
414174,1/1/2016 - 1/31/2016," $209,129 "," $77,378 "
414569,1/1/2016 - 1/31/2016," $319,320 "," $118,148 "
414841,1/1/2016 - 1/31/2016," $303,812 "," $112,410 "
413363,1/1/2016 - 1/31/2016," $279,582 "," $103,445 "
414495,1/1/2016 - 1/31/2016," $61,171 "," $22,633 "
414496,1/1/2016 - 1/31/2016, $30 , $11 
415064,1/1/2016 - 1/31/2016," $40,225 "," $14,883 "
414280,1/1/2016 - 1/31/2016," $140,986 "," $52,165 "
413558,1/1/2016 - 1/31/2016," $505,426 "," $187,008 "
415539,1/1/2016 - 1/31/2016," $41,483 "," $15,349 "
414292,1/1/2016 - 1/31/2016," $25,475 "," $9,426 "
415294,1/1/2016 - 1/31/2016," $23,323 "," $8,629 "
414785,1/1/2016 - 1/31/2016," $146,391 "," $54,165 "
413737,1/1/2016 - 1/31/2016," $203,059 "," $75,132 "
412923,1/1/2016 - 1/31/2016," $188,847 "," $69,873 "
414761,1/1/2016 - 1/31/2016," $77,357 "," $28,622 "
415130,1/1/2016 - 1/31/2016," $316,735 "," $117,192 "
413886,1/1/2016 - 1/31/2016," $218,944 "," $81,009 "
414755,1/1/2016 - 1/31/2016," $71,377 "," $26,410 "
414573,1/1/2016 - 1/31/2016," $14,959 "," $5,535 "
413798,1/1/2016 - 1/31/2016," $51,947 "," $19,220 "
410798,1/1/2016 - 1/31/2016," $233,062 "," $86,233 "
413801,1/1/2016 - 1/31/2016," $46,292 "," $17,128 "
414417,1/1/2016 - 1/31/2016," $472,441 "," $174,803 "
414356,1/1/2016 - 1/31/2016," $20,151 "," $7,456 "
415112,1/1/2016 - 1/31/2016," $596,975 "," $220,881 "
414295,1/1/2016 - 1/31/2016," $781,303 "," $289,082 "
413541,1/1/2016 - 1/31/2016," $170,197 "," $62,973 "
415124,1/1/2016 - 1/31/2016," $41,423 "," $15,327 "
415333,1/1/2016 - 1/31/2016," $359,473 "," $133,005 "
402039,1/1/2016 - 1/31/2016," $350,160 "," $129,559 "
414418,1/1/2016 - 1/31/2016," $39,329 "," $14,552 "
419759,1/1/2016 - 1/31/2016," $59,467 "," $22,003 "
413683,1/1/2016 - 1/31/2016," $424,001 "," $156,880 "
413570,1/1/2016 - 1/31/2016," $311,598 "," $115,291 "
413550,1/1/2016 - 1/31/2016," $222,805 "," $82,438 "
415238,1/1/2016 - 1/31/2016," $167,951 "," $62,142 "
413534,1/1/2016 - 1/31/2016," $117,175 "," $43,355 "
414430,1/1/2016 - 1/31/2016," $172,302 "," $63,752 "
414240,1/1/2016 - 1/31/2016," $582,972 "," $215,700 "
414889,1/1/2016 - 1/31/2016," $547,094 "," $202,425 "
413843,1/1/2016 - 1/31/2016," $245,058 "," $90,671 "
414750,1/1/2016 - 1/31/2016," $32,687 "," $12,094 "
414867,1/1/2016 - 1/31/2016," $602,837 "," $223,050 "
355804,1/1/2016 - 1/31/2016, $479 , $177 
417643,1/1/2016 - 1/31/2016," $239,695 "," $88,687 "
414520,1/1/2016 - 1/31/2016," $646,070 "," $239,046 "
415425,1/1/2016 - 1/31/2016," $111,167 "," $41,132 "
415222,1/1/2016 - 1/31/2016," $100,637 "," $37,236 "
415216,1/1/2016 - 1/31/2016," $147,438 "," $54,552 "
414243,1/1/2016 - 1/31/2016," $123,932 "," $45,855 "
414823,1/1/2016 - 1/31/2016," $120,062 "," $44,423 "
413544,1/1/2016 - 1/31/2016," $242,653 "," $89,782 "
412370,1/1/2016 - 1/31/2016," $215,919 "," $79,890 "
414963,1/1/2016 - 1/31/2016," $197,286 "," $72,996 "
415429,1/1/2016 - 1/31/2016," $122,257 "," $45,235 "
414876,1/1/2016 - 1/31/2016," $1,399,723 "," $517,897 "
413414,1/1/2016 - 1/31/2016," $76,201 "," $28,194 "
414893,1/1/2016 - 1/31/2016," $114,075 "," $42,208 "
419640,1/1/2016 - 1/31/2016," $106,220 "," $39,301 "
415652,1/1/2016 - 1/31/2016," $117,384 "," $43,432 "
414864,1/1/2016 - 1/31/2016," $32,793 "," $12,133 "
415037,1/1/2016 - 1/31/2016," $233,557 "," $86,416 "
415325,1/1/2016 - 1/31/2016," $94,338 "," $34,905 "
414250,1/1/2016 - 1/31/2016," $18,675 "," $6,910 "
415001,1/1/2016 - 1/31/2016," $153,925 "," $56,952 "
414735,1/1/2016 - 1/31/2016," $42,889 "," $15,869 "
415314,1/1/2016 - 1/31/2016," $176,812 "," $65,421 "
413980,1/1/2016 - 1/31/2016," $321,722 "," $119,037 "
415206,1/1/2016 - 1/31/2016," $18,307 "," $6,774 "
413930,1/1/2016 - 1/31/2016," $53,548 "," $19,813 "
413732,1/1/2016 - 1/31/2016," $652,919 "," $241,580 "
415658,1/1/2016 - 1/31/2016," $267,308 "," $98,904 "
413407,1/1/2016 - 1/31/2016," $43,992 "," $16,277 "
413372,1/1/2016 - 1/31/2016," $428,709 "," $158,622 "
413551,1/1/2016 - 1/31/2016," $135,789 "," $50,242 "
415348,1/1/2016 - 1/31/2016," $167,350 "," $61,919 "
414656,1/1/2016 - 1/31/2016," $152,712 "," $56,503 "
414712,1/1/2016 - 1/31/2016," $18,213 "," $6,739 "
414812,1/1/2016 - 1/31/2016," $217,633 "," $80,524 "
413809,1/1/2016 - 1/31/2016," $96,660 "," $35,764 "
79013,1/1/2016 - 1/31/2016," $78,276 "," $28,962 "
415229,1/1/2016 - 1/31/2016," $277,427 "," $102,648 "
414680,1/1/2016 - 1/31/2016," $158,038 "," $58,474 "
414723,1/1/2016 - 1/31/2016," $343,318 "," $127,028 "
414500,1/1/2016 - 1/31/2016," $110,843 "," $41,012 "
404933,1/1/2016 - 1/31/2016," $96,045 "," $35,537 "
415132,1/1/2016 - 1/31/2016," $141,893 "," $52,500 "
413692,1/1/2016 - 1/31/2016," $73,059 "," $27,032 "
414526,1/1/2016 - 1/31/2016, $911 , $337 
414740,1/1/2016 - 1/31/2016," $69,793 "," $25,824 "
413739,1/1/2016 - 1/31/2016," $553,403 "," $204,759 "
414664,1/1/2016 - 1/31/2016," $511,829 "," $189,377 "
412066,1/1/2016 - 1/31/2016," $55,989 "," $20,716 "
353260,1/1/2016 - 1/31/2016," $112,146 "," $41,494 "
414780,1/1/2016 - 1/31/2016," $284,714 "," $105,344 "
414731,1/1/2016 - 1/31/2016," $327,545 "," $121,192 "
413994,1/1/2016 - 1/31/2016," $31,006 "," $11,472 "
414101,1/1/2016 - 1/31/2016," $131,671 "," $48,718 "
413762,1/1/2016 - 1/31/2016," $163,403 "," $60,459 "
414223,1/1/2016 - 1/31/2016," $82,331 "," $30,463 "
413347,1/1/2016 - 1/31/2016," $235,104 "," $86,989 "
414532,1/1/2016 - 1/31/2016," $306,223 "," $113,303 "
413596,1/1/2016 - 1/31/2016," $185,444 "," $68,614 "
421326,1/1/2016 - 1/31/2016," $24,552 "," $9,084 "
413847,1/1/2016 - 1/31/2016," $73,393 "," $27,156 "
413503,1/1/2016 - 1/31/2016," $34,504 "," $12,766 "
415523,1/1/2016 - 1/31/2016," $48,084 "," $17,791 "
414002,1/1/2016 - 1/31/2016," $53,728 "," $19,879 "
415645,1/1/2016 - 1/31/2016," $97,022 "," $35,898 "
413426,1/1/2016 - 1/31/2016," $97,978 "," $36,252 "
413897,1/1/2016 - 1/31/2016," $56,100 "," $20,757 "
413791,1/1/2016 - 1/31/2016," $461,466 "," $170,742 "
413258,1/1/2016 - 1/31/2016," $528,693 "," $195,616 "
415410,1/1/2016 - 1/31/2016," $208,996 "," $77,329 "
412490,1/1/2016 - 1/31/2016," $222,295 "," $82,249 "
412495,1/1/2016 - 1/31/2016," $108,663 "," $40,205 "
414958,1/1/2016 - 1/31/2016," $179,130 "," $66,278 "
413600,1/1/2016 - 1/31/2016," $46,489 "," $17,201 "
413481,1/1/2016 - 1/31/2016," $117,803 "," $43,587 "
415484,1/1/2016 - 1/31/2016," $47,607 "," $17,615 "
413848,1/1/2016 - 1/31/2016," $248,604 "," $91,983 "
84045,1/1/2016 - 1/31/2016," $449,026 "," $166,140 "
412921,1/1/2016 - 1/31/2016," $165,735 "," $61,322 "
414065,1/1/2016 - 1/31/2016," $108,020 "," $39,967 "
415517,1/1/2016 - 1/31/2016," $209,041 "," $77,345 "
415507,1/1/2016 - 1/31/2016," $101,574 "," $37,582 "
415513,1/1/2016 - 1/31/2016," $85,796 "," $31,745 "
414539,1/1/2016 - 1/31/2016," $7,852 "," $2,905 "
414983,1/1/2016 - 1/31/2016," $346,834 "," $128,329 "
413870,1/1/2016 - 1/31/2016," $48,085 "," $17,792 "
414216,1/1/2016 - 1/31/2016," $3,914 "," $1,448 "
415343,1/1/2016 - 1/31/2016," $68,909 "," $25,496 "
413773,1/1/2016 - 1/31/2016," $326,173 "," $120,684 "
412494,1/1/2016 - 1/31/2016," $569,010 "," $210,534 "
414716,1/1/2016 - 1/31/2016," $160,506 "," $59,387 "
415115,1/1/2016 - 1/31/2016," $138,812 "," $51,360 "
415183,1/1/2016 - 1/31/2016," $140,617 "," $52,028 "
400209,1/1/2016 - 1/31/2016," $42,695 "," $15,797 "
414256,1/1/2016 - 1/31/2016," $135,719 "," $50,216 "
413369,1/1/2016 - 1/31/2016," $338,292 "," $125,168 "
414871,1/1/2016 - 1/31/2016," $176,979 "," $65,482 "
414533,1/1/2016 - 1/31/2016," $1,400,016 "," $518,006 "
415010,1/1/2016 - 1/31/2016," $223,139 "," $82,562 "
415445,1/1/2016 - 1/31/2016," $37,399 "," $13,838 "
415641,1/1/2016 - 1/31/2016," $92,940 "," $34,388 "
414011,1/1/2016 - 1/31/2016," $203,530 "," $75,306 "
414995,1/1/2016 - 1/31/2016," $272,168 "," $100,702 "
414868,1/1/2016 - 1/31/2016," $211,821 "," $78,374 "
412466,1/1/2016 - 1/31/2016," $72,633 "," $26,874 "
417511,1/1/2016 - 1/31/2016," $73,071 "," $27,036 "
414398,1/1/2016 - 1/31/2016," $237,028 "," $87,700 "
414449,1/1/2016 - 1/31/2016," $280,854 "," $103,916 "
415488,1/1/2016 - 1/31/2016," $116,826 "," $43,226 "
RETAILERS PERIOD TOTAL,1/1/2016 - 1/31/2016," $39,595,992 "," $14,650,517 "
414884,2/1/2016 - 2/29/2016," $328,363 "," $121,494 "
415470,2/1/2016 - 2/29/2016," $279,642 "," $103,468 "
413314,2/1/2016 - 2/29/2016," $199,487 "," $73,810 "
414574,2/1/2016 - 2/29/2016," $141,405 "," $52,320 "
84154,2/1/2016 - 2/29/2016," $147,924 "," $54,732 "
413310,2/1/2016 - 2/29/2016," $100,523 "," $37,193 "
415083,2/1/2016 - 2/29/2016," $326,493 "," $120,802 "
415526,2/1/2016 - 2/29/2016," $177,260 "," $65,586 "
414550,2/1/2016 - 2/29/2016," $97,043 "," $35,906 "
414733,2/1/2016 - 2/29/2016," $145,869 "," $53,971 "
413586,2/1/2016 - 2/29/2016," $146,568 "," $54,230 "
413700,2/1/2016 - 2/29/2016," $30,238 "," $11,188 "
413821,2/1/2016 - 2/29/2016," $92,781 "," $34,329 "
402107,2/1/2016 - 2/29/2016," $90,895 "," $33,631 "
414225,2/1/2016 - 2/29/2016," $292,174 "," $108,104 "
410332,2/1/2016 - 2/29/2016," $181,978 "," $67,332 "
413530,2/1/2016 - 2/29/2016," $21,839 "," $8,081 "
415253,2/1/2016 - 2/29/2016," $428,319 "," $158,478 "
422202,2/1/2016 - 2/29/2016," $1,638 ", $606 
414902,2/1/2016 - 2/29/2016," $17,310 "," $6,405 "
414558,2/1/2016 - 2/29/2016," $18,742 "," $6,935 "
413802,2/1/2016 - 2/29/2016," $104,136 "," $38,530 "
415361,2/1/2016 - 2/29/2016," $42,665 "," $15,786 "
415504,2/1/2016 - 2/29/2016," $600,724 "," $222,268 "
413901,2/1/2016 - 2/29/2016," $117,745 "," $43,566 "
72437,2/1/2016 - 2/29/2016," $208,542 "," $77,160 "
413729,2/1/2016 - 2/29/2016," $86,021 "," $31,828 "
414211,2/1/2016 - 2/29/2016," $178,069 "," $65,885 "
415243,2/1/2016 - 2/29/2016," $107,454 "," $39,758 "
360307,2/1/2016 - 2/29/2016," $151,352 "," $56,000 "
415567,2/1/2016 - 2/29/2016," $117,649 "," $43,530 "
415662,2/1/2016 - 2/29/2016," $128,787 "," $47,651 "
413319,2/1/2016 - 2/29/2016," $269,894 "," $99,861 "
420123,2/1/2016 - 2/29/2016," $35,847 "," $13,264 "
414970,2/1/2016 - 2/29/2016," $166,912 "," $61,757 "
415575,2/1/2016 - 2/29/2016," $169,132 "," $62,579 "
413366,2/1/2016 - 2/29/2016," $79,961 "," $29,586 "
414060,2/1/2016 - 2/29/2016," $237,976 "," $88,051 "
415094,2/1/2016 - 2/29/2016," $189,504 "," $70,116 "
413819,2/1/2016 - 2/29/2016," $438,637 "," $162,296 "
414817,2/1/2016 - 2/29/2016," $465,000 "," $172,050 "
413940,2/1/2016 - 2/29/2016," $417,636 "," $154,525 "
413358,2/1/2016 - 2/29/2016," $669,631 "," $247,764 "
413803,2/1/2016 - 2/29/2016," $191,723 "," $70,938 "
413806,2/1/2016 - 2/29/2016," $11,050 "," $4,088 "
414491,2/1/2016 - 2/29/2016," $239,286 "," $88,536 "
413529,2/1/2016 - 2/29/2016," $32,318 "," $11,958 "
414503,2/1/2016 - 2/29/2016," $252,884 "," $93,567 "
413374,2/1/2016 - 2/29/2016," $207,222 "," $76,672 "
414174,2/1/2016 - 2/29/2016," $239,770 "," $88,715 "
414569,2/1/2016 - 2/29/2016," $314,703 "," $116,440 "
414841,2/1/2016 - 2/29/2016," $288,822 "," $106,864 "
413363,2/1/2016 - 2/29/2016," $317,814 "," $117,591 "
414495,2/1/2016 - 2/29/2016," $65,742 "," $24,325 "
414496,2/1/2016 - 2/29/2016, $15 , $6 
415064,2/1/2016 - 2/29/2016," $42,582 "," $15,755 "
414280,2/1/2016 - 2/29/2016," $150,439 "," $55,662 "
412922,2/1/2016 - 2/29/2016," $35,666 "," $13,196 "
415031,2/1/2016 - 2/29/2016, $774 , $287 
413558,2/1/2016 - 2/29/2016," $515,948 "," $190,901 "
415539,2/1/2016 - 2/29/2016," $39,693 "," $14,686 "
414292,2/1/2016 - 2/29/2016," $34,670 "," $12,828 "
415294,2/1/2016 - 2/29/2016," $27,074 "," $10,017 "
414785,2/1/2016 - 2/29/2016," $153,634 "," $56,845 "
413737,2/1/2016 - 2/29/2016," $197,793 "," $73,184 "
412923,2/1/2016 - 2/29/2016," $214,825 "," $79,485 "
414761,2/1/2016 - 2/29/2016," $90,526 "," $33,495 "
415130,2/1/2016 - 2/29/2016," $323,763 "," $119,792 "
414918,2/1/2016 - 2/29/2016," $22,540 "," $8,340 "
413886,2/1/2016 - 2/29/2016," $212,282 "," $78,544 "
414755,2/1/2016 - 2/29/2016," $81,307 "," $30,084 "
414573,2/1/2016 - 2/29/2016," $16,882 "," $6,246 "
413798,2/1/2016 - 2/29/2016," $54,155 "," $20,037 "
414298,2/1/2016 - 2/29/2016," $13,064 "," $4,834 "
410798,2/1/2016 - 2/29/2016," $246,086 "," $91,052 "
413801,2/1/2016 - 2/29/2016," $51,287 "," $18,976 "
414417,2/1/2016 - 2/29/2016," $483,701 "," $178,969 "
414356,2/1/2016 - 2/29/2016," $108,396 "," $40,107 "
415112,2/1/2016 - 2/29/2016," $638,454 "," $236,228 "
414295,2/1/2016 - 2/29/2016," $805,647 "," $298,089 "
413541,2/1/2016 - 2/29/2016," $180,573 "," $66,812 "
415124,2/1/2016 - 2/29/2016," $45,529 "," $16,846 "
415333,2/1/2016 - 2/29/2016," $377,305 "," $139,603 "
421409,2/1/2016 - 2/29/2016," $41,675 "," $15,420 "
402039,2/1/2016 - 2/29/2016," $350,370 "," $129,637 "
414418,2/1/2016 - 2/29/2016," $49,291 "," $18,238 "
419759,2/1/2016 - 2/29/2016," $62,220 "," $23,021 "
413683,2/1/2016 - 2/29/2016," $430,965 "," $159,457 "
413570,2/1/2016 - 2/29/2016," $295,390 "," $109,294 "
413550,2/1/2016 - 2/29/2016," $229,958 "," $85,085 "
415238,2/1/2016 - 2/29/2016," $187,507 "," $69,378 "
413534,2/1/2016 - 2/29/2016," $120,453 "," $44,568 "
414430,2/1/2016 - 2/29/2016," $170,467 "," $63,073 "
414240,2/1/2016 - 2/29/2016," $552,028 "," $204,250 "
414889,2/1/2016 - 2/29/2016," $555,281 "," $205,454 "
413843,2/1/2016 - 2/29/2016," $246,885 "," $91,347 "
414750,2/1/2016 - 2/29/2016," $41,673 "," $15,419 "
414867,2/1/2016 - 2/29/2016," $597,102 "," $220,928 "
355804,2/1/2016 - 2/29/2016, $778 , $288 
417643,2/1/2016 - 2/29/2016," $250,427 "," $92,658 "
421168,2/1/2016 - 2/29/2016," $8,422 "," $3,116 "
414520,2/1/2016 - 2/29/2016," $720,556 "," $266,606 "
417880,2/1/2016 - 2/29/2016," $3,730 "," $1,380 "
415425,2/1/2016 - 2/29/2016," $110,111 "," $40,741 "
415222,2/1/2016 - 2/29/2016," $95,188 "," $35,219 "
415216,2/1/2016 - 2/29/2016," $151,882 "," $56,196 "
414243,2/1/2016 - 2/29/2016," $134,209 "," $49,657 "
414823,2/1/2016 - 2/29/2016," $141,809 "," $52,469 "
413544,2/1/2016 - 2/29/2016," $260,721 "," $96,467 "
412370,2/1/2016 - 2/29/2016," $235,652 "," $87,191 "
414963,2/1/2016 - 2/29/2016," $221,968 "," $82,128 "
415429,2/1/2016 - 2/29/2016," $150,375 "," $55,639 "
414876,2/1/2016 - 2/29/2016," $1,470,722 "," $544,167 "
413414,2/1/2016 - 2/29/2016," $84,037 "," $31,094 "
414893,2/1/2016 - 2/29/2016," $121,037 "," $44,784 "
419640,2/1/2016 - 2/29/2016," $115,190 "," $42,620 "
415652,2/1/2016 - 2/29/2016," $130,376 "," $48,239 "
414864,2/1/2016 - 2/29/2016," $78,041 "," $28,875 "
415037,2/1/2016 - 2/29/2016," $244,680 "," $90,532 "
415325,2/1/2016 - 2/29/2016," $101,886 "," $37,698 "
414250,2/1/2016 - 2/29/2016," $21,007 "," $7,773 "
415001,2/1/2016 - 2/29/2016," $200,701 "," $74,259 "
414735,2/1/2016 - 2/29/2016," $50,802 "," $18,797 "
415314,2/1/2016 - 2/29/2016," $177,223 "," $65,573 "
413980,2/1/2016 - 2/29/2016," $336,308 "," $124,434 "
415206,2/1/2016 - 2/29/2016," $19,056 "," $7,051 "
413930,2/1/2016 - 2/29/2016," $57,452 "," $21,257 "
413732,2/1/2016 - 2/29/2016," $661,219 "," $244,651 "
415658,2/1/2016 - 2/29/2016," $275,877 "," $102,074 "
413407,2/1/2016 - 2/29/2016," $50,114 "," $18,542 "
413372,2/1/2016 - 2/29/2016," $381,590 "," $141,188 "
413551,2/1/2016 - 2/29/2016," $160,460 "," $59,370 "
415348,2/1/2016 - 2/29/2016," $175,389 "," $64,894 "
414656,2/1/2016 - 2/29/2016," $153,698 "," $56,868 "
414712,2/1/2016 - 2/29/2016," $19,439 "," $7,192 "
414812,2/1/2016 - 2/29/2016," $206,771 "," $76,505 "
413809,2/1/2016 - 2/29/2016," $112,355 "," $41,571 "
79013,2/1/2016 - 2/29/2016," $82,972 "," $30,700 "
415229,2/1/2016 - 2/29/2016," $289,900 "," $107,263 "
414680,2/1/2016 - 2/29/2016," $159,979 "," $59,192 "
421876,2/1/2016 - 2/29/2016, $18 , $7 
414723,2/1/2016 - 2/29/2016," $305,809 "," $113,149 "
414500,2/1/2016 - 2/29/2016," $111,665 "," $41,316 "
404933,2/1/2016 - 2/29/2016," $98,101 "," $36,298 "
415132,2/1/2016 - 2/29/2016," $189,109 "," $69,970 "
413692,2/1/2016 - 2/29/2016," $94,362 "," $34,914 "
414526,2/1/2016 - 2/29/2016," $1,167 ", $432 
414740,2/1/2016 - 2/29/2016," $85,327 "," $31,571 "
413739,2/1/2016 - 2/29/2016," $570,455 "," $211,068 "
414664,2/1/2016 - 2/29/2016," $574,060 "," $212,402 "
412066,2/1/2016 - 2/29/2016," $64,911 "," $24,017 "
353260,2/1/2016 - 2/29/2016," $121,101 "," $44,807 "
414780,2/1/2016 - 2/29/2016," $296,380 "," $109,661 "
414731,2/1/2016 - 2/29/2016," $329,289 "," $121,837 "
413994,2/1/2016 - 2/29/2016," $42,771 "," $15,825 "
414101,2/1/2016 - 2/29/2016," $150,263 "," $55,597 "
413762,2/1/2016 - 2/29/2016," $179,265 "," $66,328 "
414223,2/1/2016 - 2/29/2016," $88,343 "," $32,687 "
422146,2/1/2016 - 2/29/2016," $156,853 "," $58,036 "
413347,2/1/2016 - 2/29/2016," $103,180 "," $38,177 "
414160,2/1/2016 - 2/29/2016," $16,485 "," $6,099 "
414532,2/1/2016 - 2/29/2016," $328,903 "," $121,694 "
413596,2/1/2016 - 2/29/2016," $218,738 "," $80,933 "
421326,2/1/2016 - 2/29/2016," $51,356 "," $19,002 "
413847,2/1/2016 - 2/29/2016," $79,208 "," $29,307 "
413503,2/1/2016 - 2/29/2016," $99,398 "," $36,777 "
415523,2/1/2016 - 2/29/2016," $58,972 "," $21,820 "
414002,2/1/2016 - 2/29/2016," $66,193 "," $24,492 "
415645,2/1/2016 - 2/29/2016," $110,082 "," $40,730 "
413426,2/1/2016 - 2/29/2016," $116,237 "," $43,008 "
413897,2/1/2016 - 2/29/2016," $70,633 "," $26,134 "
413791,2/1/2016 - 2/29/2016," $465,350 "," $172,179 "
413258,2/1/2016 - 2/29/2016," $490,086 "," $181,332 "
413420,2/1/2016 - 2/29/2016," $75,556 "," $27,956 "
415410,2/1/2016 - 2/29/2016," $209,108 "," $77,370 "
412490,2/1/2016 - 2/29/2016," $278,280 "," $102,963 "
412495,2/1/2016 - 2/29/2016," $116,353 "," $43,051 "
414958,2/1/2016 - 2/29/2016," $194,384 "," $71,922 "
413600,2/1/2016 - 2/29/2016," $51,703 "," $19,130 "
413481,2/1/2016 - 2/29/2016," $130,500 "," $48,285 "
415484,2/1/2016 - 2/29/2016," $48,488 "," $17,940 "
413848,2/1/2016 - 2/29/2016," $261,469 "," $96,743 "
84045,2/1/2016 - 2/29/2016," $480,914 "," $177,938 "
412921,2/1/2016 - 2/29/2016," $177,186 "," $65,559 "
413677,2/1/2016 - 2/29/2016," $29,684 "," $10,983 "
414065,2/1/2016 - 2/29/2016," $123,450 "," $45,676 "
415517,2/1/2016 - 2/29/2016," $201,505 "," $74,557 "
415507,2/1/2016 - 2/29/2016," $107,701 "," $39,849 "
415513,2/1/2016 - 2/29/2016," $93,251 "," $34,503 "
414539,2/1/2016 - 2/29/2016," $7,179 "," $2,656 "
414983,2/1/2016 - 2/29/2016," $359,116 "," $132,873 "
413870,2/1/2016 - 2/29/2016," $82,264 "," $30,438 "
414216,2/1/2016 - 2/29/2016," $5,152 "," $1,906 "
415343,2/1/2016 - 2/29/2016," $71,064 "," $26,294 "
413773,2/1/2016 - 2/29/2016," $362,926 "," $134,282 "
412494,2/1/2016 - 2/29/2016," $592,922 "," $219,381 "
414716,2/1/2016 - 2/29/2016," $181,127 "," $67,017 "
415115,2/1/2016 - 2/29/2016," $129,520 "," $47,923 "
415183,2/1/2016 - 2/29/2016," $148,638 "," $54,996 "
400209,2/1/2016 - 2/29/2016," $44,553 "," $16,485 "
414256,2/1/2016 - 2/29/2016," $119,747 "," $44,306 "
413369,2/1/2016 - 2/29/2016," $391,811 "," $144,970 "
414871,2/1/2016 - 2/29/2016," $195,612 "," $72,377 "
414533,2/1/2016 - 2/29/2016," $1,360,234 "," $503,287 "
415010,2/1/2016 - 2/29/2016," $228,374 "," $84,498 "
415445,2/1/2016 - 2/29/2016," $42,556 "," $15,746 "
415641,2/1/2016 - 2/29/2016," $94,722 "," $35,047 "
414011,2/1/2016 - 2/29/2016," $289,005 "," $106,932 "
414995,2/1/2016 - 2/29/2016," $251,747 "," $93,147 "
414868,2/1/2016 - 2/29/2016," $237,026 "," $87,700 "
412466,2/1/2016 - 2/29/2016," $78,359 "," $28,993 "
417511,2/1/2016 - 2/29/2016," $116,761 "," $43,202 "
414398,2/1/2016 - 2/29/2016," $226,224 "," $83,703 "
414449,2/1/2016 - 2/29/2016," $328,432 "," $121,520 "
415488,2/1/2016 - 2/29/2016," $139,397 "," $51,577 "
RETAILERS PERIOD TOTAL,2/1/2016 - 2/29/2016," $42,329,158 "," $15,661,788 "
414884,3/1/2016 - 3/31/2016," $330,047 "," $122,117 "
415470,3/1/2016 - 3/31/2016," $297,830 "," $110,197 "
413314,3/1/2016 - 3/31/2016," $211,293 "," $78,179 "
