year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,JDP_TOTALADP,JST_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,Total Population
2013,ASOTIN,1560,699,2614,6311,11185,1526,716,2456,5915,10615,0,0,0,0,0,0,0,0,0,1,267,0,130,261,97,0,6,5,0,0,5,0,0,1,1,1082,0,278,12,131,672,1491,0,33,0,0,0,0,0,0,0,0,0,0,0,0,119,0,18,28,28,0,0,1,0,1327,0,1,0,0,1,0,0,8,134,1682,0,17,50.0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,5,6,20,0,0,0,35,0,0,0,0,0,0,0,41,124,0,2,0,7,3,2,10,21800
2014,ASOTIN,1573,700,2585,6353,11212,1537,721,2423,6057,10738,0,0,0,0,0,0,0,0,0,4,262,1,134,246,65,0,9,10,0,0,0,0,1,0,0,958,1,273,5,78,559,1309,0,12,0,0,0,0,0,0,0,0,0,0,0,0,94,1,12,15,22,0,1,0,0,1094,0,0,0,1,0,0,1,0,55,1303,0,7,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,18,0,0,0,0,0,0,1,3,29,0,1,0,2,3,1,5,21950
2015,ASOTIN,1576,714,2565,6377,11233,1538,725,2408,6106,10777,0,0,0,0,0,0,0,0,0,4,273,0,86,276,55,0,4,14,0,0,1,0,2,0,2,1081,0,290,11,71,700,1442,0,14,0,0,0,0,0,0,0,0,0,0,0,0,125,0,16,24,12,0,0,1,0,1059,0,0,0,2,0,1,0,2,174,1418,0,2,64.0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,16,21,0,0,1,31,0,0,0,0,0,0,3,45,151,0,10,0,5,1,1,6,22010
2016,ASOTIN,1567,728,2527,6463,11285,1541,729,2375,6219,10865,0,0,0,0,0,0,0,0,0,2,284,0,114,252,39,0,7,16,0,0,1,0,1,4,1,1081,0,306,2,52,704,1439,0,12,0,0,0,0,0,0,0,0,0,0,0,0,117,0,16,31,16,0,1,1,0,1119,0,1,0,2,0,0,0,3,162,1474,0,5,52.0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,4,9,0,0,1,29,0,0,0,0,0,0,0,15,72,0,0,0,10,1,0,11,22150
2010,BENTON,15106,7954,23682,40006,86747,15630,8394,23591,38540,86153,277,33,792,3,251,49,54,3357,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3,141,858,2,10,11475,10,26,744,13441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.0,0,23,3,87,208,0,9,933,4,4,500,1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,3,5,26,172900
2011,BENTON,15422,7872,24555,41182,89031,16334,8274,25238,39022,88869,301,58,995,3,316,57,54,3686,5470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,4,93,694,3,9,5229,5,18,602,6818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,34,6,51,213,0,6,767,6,10,348,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,6,13,177900
2012,BENTON,15434,7697,25210,41728,90068,16206,8246,25920,39562,89932,0,0,0,0,0,0,0,0,0,34,2006,0,851,2055,1529,2,112,207,0,0,33,3,1,10,18,7507,3,2742,56,1744,4397,11993,482,194,106,3,56,436,0,10,2657,4,29,432,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.0,4,25,0,58,170,0,1,568,1,7,276,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4,19,36,180000
2013,BENTON,15698,7789,25615,42622,91722,16440,8354,26371,40513,91678,0,0,0,0,0,0,0,0,0,27,2108,2,839,1870,871,4,127,179,0,0,26,2,7,11,16,7320,6,2765,60,1075,4391,11160,432,182,0,0,0,0,0,0,0,0,0,0,0,0,942,0,97,164,359,2,38,16,0,2223,0,17,3,8,13,3,3,21,986,5188,224,69,646.0,3,0,0,0,0,0,0,0,0,0,0,0,4,200,34,73,202,1,0,13,257,0,0,0,6,1,0,5,317,1136,4,19,3,30,7,8,40,183400
2014,BENTON,15889,7866,25902,43565,93222,16608,8436,26712,41521,93278,0,0,0,0,0,0,0,0,0,27,1970,0,906,1585,844,2,100,192,0,0,31,0,8,7,23,7125,11,2760,59,1079,4446,10964,552,201,0,0,0,0,0,0,0,0,0,0,0,2,980,1,117,171,322,0,27,18,0,2119,0,16,0,2,7,2,9,22,1063,5240,290,72,686.0,0,0,0,0,0,0,0,0,0,0,0,0,6,221,64,67,201,0,1,6,259,2,1,1,4,4,0,7,294,1169,12,19,0,19,5,12,24,186500
2015,BENTON,15952,7950,25961,44291,94155,16636,8510,26791,42498,94435,0,0,0,0,0,0,0,0,0,38,1995,0,750,1621,855,9,111,201,0,2,49,0,3,6,26,6872,13,2815,37,1051,4306,10738,559,157,0,0,0,0,0,0,0,0,0,0,0,2,874,0,114,125,349,2,17,22,0,1808,0,22,0,3,8,3,3,17,997,4721,306,49,558.0,0,0,0,0,0,0,0,0,0,0,0,0,6,211,69,69,135,0,1,9,225,4,0,0,6,3,0,6,283,1068,19,22,0,20,5,5,25,188590
