year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,JDP_TOTALADP,JST_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,Total Population
2012,CLALLAM,3984,2149,7345,22807,36284,4258,2299,8610,20548,35716,0,0,0,0,0,0,0,0,0,7,915,1,642,788,373,3,126,80,0,0,23,1,5,13,4,3552,2,1241,25,444,1960,5237,204,65,51,0,39,111,3,8,764,3,8,258,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0,0,5,0,7,23,1,3,126,0,0,53,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,6,18,72000
2013,CLALLAM,3980,2142,7367,22971,36459,4282,2271,8668,20672,35891,0,0,0,0,0,0,0,0,0,6,870,0,575,721,319,2,87,66,0,0,22,0,1,8,8,3431,1,1245,24,405,2016,5081,278,77,0,0,0,0,0,0,0,0,0,0,0,3,434,0,80,81,164,0,22,5,0,394,0,6,0,0,2,1,0,12,518,1916,160,34,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,13,21,42,0,1,1,48,0,0,0,2,0,0,0,56,249,3,7,0,5,4,5,9,72350
2014,CLALLAM,4001,2113,7388,23001,36503,4257,2286,8715,20739,35997,0,0,0,0,0,0,0,0,0,11,880,0,521,602,319,0,89,52,0,0,13,0,3,6,4,3102,0,1195,27,376,1852,4673,241,53,0,0,0,0,0,0,0,0,0,0,0,0,448,0,78,77,204,0,11,8,0,379,0,5,0,6,1,0,0,14,437,1835,147,20,125.0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,7,16,22,0,1,1,52,0,0,0,1,0,0,1,44,190,0,0,0,4,0,5,4,72500
2015,CLALLAM,3957,2102,7369,23075,36503,4286,2280,8701,20880,36147,0,0,0,0,0,0,0,0,0,10,886,0,532,669,240,1,93,73,0,0,15,0,0,7,9,3392,0,1227,17,304,2070,4923,246,55,0,0,0,0,0,0,0,0,0,0,0,1,451,0,67,89,147,0,10,7,0,336,0,4,0,1,2,1,0,9,445,1745,146,29,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,13,12,0,0,1,31,0,0,0,1,1,0,0,36,143,0,2,0,3,0,1,3,72650
2016,CLALLAM,4017,2108,7328,23415,36868,4330,2289,8703,21220,36542,0,0,0,0,0,0,0,0,0,11,881,0,445,564,257,1,92,78,0,0,21,0,3,6,14,2820,0,1206,11,333,1696,4359,217,62,0,0,0,0,0,0,0,0,0,0,0,4,436,0,51,88,168,0,5,5,0,441,0,11,0,1,2,1,0,3,374,1729,119,20,123.0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,6,9,9,0,0,3,46,0,0,0,0,0,0,0,30,165,3,3,0,5,4,1,9,73410
2010,CLARK,38068,18017,63924,98990,218999,39718,19062,63866,93955,216601,554,100,2074,1,1460,195,240,8579,13203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,24,265,689,1,108,5541,36,113,1625,8572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.0,0,47,17,95,183,0,20,1817,3,41,439,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,6,14,58,435600
2011,CLARK,35876,18750,60191,101910,216726,37760,19713,59366,94436,211275,519,73,2034,13,1323,171,258,8046,12437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,9,348,613,2,124,5860,35,124,1913,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,26,15,86,183,0,18,1769,4,42,471,2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,3,17,30,428001
2012,CLARK,34825,18783,60608,104115,218333,36526,19853,59873,96665,212917,0,0,0,0,0,0,0,0,0,100,4200,0,2462,2594,1276,3,504,265,0,0,38,0,7,15,14,15708,16,5130,231,1449,9814,22287,605,143,179,12,344,682,8,65,9010,24,132,1673,12129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.0,1,50,13,63,80,0,9,1035,7,28,239,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,9,22,42,431250
2013,CLARK,34734,18736,60964,106006,220438,36416,19828,60254,98565,215062,0,0,0,0,0,0,0,0,0,78,3762,0,2129,2219,938,5,302,211,0,0,24,1,3,21,11,13902,3,4589,197,1091,8972,19582,567,139,0,0,0,0,0,0,0,0,0,0,0,12,1457,0,234,248,545,1,56,26,0,7242,0,12,1,1,3,1,0,111,1364,11689,326,49,720.0,2,0,0,0,0,0,0,0,0,0,0,0,2,216,38,62,71,0,2,2,312,0,0,0,1,0,0,13,171,908,3,15,6,32,6,19,44,435500
2013,GARFIELD,142,82,199,718,1143,122,98,223,662,1107,0,0,0,0,0,0,0,0,0,0,54,0,7,15,17,0,1,2,0,0,0,0,0,0,0,72,0,67,0,25,49,164,11,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,153,0,0,0,0,0,1,0,0,5,184,3,3,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,2250
2014,CLARK,34836,18708,61690,108938,224171,36746,19759,60937,101187,218629,0,0,0,0,0,0,0,0,0,96,3768,0,1806,2227,943,4,172,235,0,0,40,1,7,10,17,12745,3,4588,208,1088,8232,18421,527,125,0,0,0,0,0,0,0,0,0,0,0,9,1500,0,230,255,513,0,37,27,0,5874,0,22,1,5,3,3,0,89,1274,10196,310,44,761.0,0,0,0,0,0,0,0,0,0,0,0,0,8,216,43,65,80,0,0,6,205,0,0,0,0,0,0,14,120,772,1,14,2,39,8,19,49,442800
2015,CLARK,34994,18798,62557,112332,228682,36861,19869,61826,104583,223138,0,0,0,0,0,0,0,0,0,120,3662,1,1878,2550,1010,5,243,294,0,0,91,0,6,9,4,15074,7,4612,189,1192,10088,20878,550,171,0,0,0,0,0,0,0,0,0,0,0,15,1370,2,295,195,519,1,20,28,0,5831,2,27,0,2,1,1,4,86,1346,10101,291,65,735.0,0,0,0,0,0,0,0,0,0,0,0,0,2,244,45,61,59,0,0,5,291,1,0,1,0,0,0,19,145,883,3,7,0,28,12,13,40,451820
2016,CLARK,35270,18969,63217,115729,233184,37271,20035,62568,107952,227826,0,0,0,0,0,0,0,0,0,82,3594,0,1739,2753,1006,0,327,330,0,0,102,1,7,6,0,14697,6,4648,196,1172,9600,20517,608,160,0,0,0,0,0,0,0,0,0,0,0,5,1144,0,204,171,506,0,39,19,0,5264,0,23,1,4,3,0,0,57,897,8632,242,53,731.0,0,0,0,0,0,0,0,0,0,0,0,0,3,194,29,35,41,0,1,3,237,5,0,1,0,0,0,25,108,692,0,10,0,42,10,11,52,461010
2010,COLUMBIA,287,162,418,1255,2122,261,168,437,1160,2028,3,2,50,0,7,0,1,136,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,7,1,0,67,0,0,8,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,0,1,1,0,0,1,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4150
2011,COLUMBIA,248,159,374,1285,2065,259,147,386,1241,2035,6,0,42,0,5,1,0,132,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,1,56,0,0,9,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,0,0,2,1,0,0,7,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
2012,COLUMBIA,251,148,374,1281,2056,248,143,385,1268,2044,0,0,0,0,0,0,0,0,0,0,33,0,47,54,1,0,0,4,0,0,1,0,1,0,0,221,0,39,0,2,120,262,0,1,2,0,4,0,1,1,8,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,1,0,2,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
2013,COLUMBIA,246,139,376,1287,2049,249,138,386,1280,2051,0,0,0,0,0,0,0,0,0,1,39,0,51,31,0,0,0,2,0,0,0,0,0,0,0,249,0,46,0,0,166,295,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,16,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,2,4100
2014,COLUMBIA,245,136,381,1280,2043,240,144,392,1261,2037,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,89,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4080
2015,COLUMBIA,255,128,372,1296,2052,237,143,383,1276,2038,0,0,0,0,0,0,0,0,0,1,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,80,0,2,0,1,51,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4090
2016,COLUMBIA,252,125,356,1294,2027,232,143,370,1278,2023,0,0,0,0,0,0,0,0,0,1,16,0,20,46,3,0,0,5,0,0,0,0,0,0,0,183,0,25,0,3,116,211,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4050
2010,COWLITZ,7834,4008,12998,25510,50349,8102,4255,13231,24064,49651,171,25,795,2,274,106,48,2535,3956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,5,88,431,2,13,3545,29,30,575,4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.0,0,19,4,40,65,0,3,470,8,2,179,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,2,21,100000
2011,COWLITZ,7992,4142,13023,26846,52003,8031,4318,13019,25328,50697,166,74,677,4,302,86,59,2436,3804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,9,125,470,3,28,2431,25,37,700,3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,1,22,13,27,59,0,5,405,11,4,144,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,3,11,102700
2012,COWLITZ,7850,4017,13314,27009,52192,7914,4257,13197,25491,50858,0,0,0,0,0,0,0,0,0,51,1512,0,853,1152,739,3,106,114,0,0,13,0,4,4,8,5611,4,1905,66,851,3380,8367,258,100,105,5,98,333,1,26,1852,21,40,631,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.0,1,5,2,23,53,1,1,345,7,3,109,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,18,103050
2013,COWLITZ,7783,4021,13381,27158,52342,7861,4196,13295,25606,50958,0,0,0,0,0,0,0,0,0,21,1507,1,898,1355,711,5,105,119,0,0,15,0,1,3,10,6059,5,1927,61,890,3613,8876,282,164,0,0,0,0,0,0,0,0,0,0,0,4,845,0,175,135,458,3,30,40,0,1386,0,20,0,2,0,2,3,43,1004,4379,177,52,277.0,3,0,0,0,0,0,0,0,0,0,0,0,0,173,15,54,59,1,0,11,98,0,0,1,1,0,0,4,113,538,2,6,0,16,5,7,21,103300
2014,COWLITZ,7711,4041,13382,27426,52561,7807,4170,13268,25894,51139,0,0,0,0,0,0,0,0,0,22,1334,0,811,1004,751,3,63,93,0,0,11,0,0,0,5,5350,4,1702,34,862,3413,7914,264,102,0,0,0,0,0,0,0,0,0,0,0,2,775,0,129,122,515,1,16,23,0,1426,0,16,0,1,0,4,4,22,1149,4414,176,33,291.0,0,0,0,0,0,0,0,0,0,0,0,0,4,156,26,21,64,0,0,6,94,0,0,0,0,0,0,1,147,528,2,7,1,19,5,8,25,103700
2015,COWLITZ,7654,4066,13360,27725,52804,7766,4160,13229,26322,51476,0,0,0,0,0,0,0,0,0,29,1329,0,647,944,719,1,91,102,0,0,21,0,2,4,17,4841,2,1773,54,843,3075,7457,315,105,0,0,0,0,0,0,0,0,0,0,0,2,750,0,103,106,541,0,23,26,0,2132,0,24,0,4,0,5,1,26,966,4928,195,24,263.0,0,0,0,0,0,0,0,0,0,0,0,0,3,118,10,23,49,0,0,10,113,0,0,0,0,0,0,4,121,459,0,8,0,7,10,11,17,104280
2016,COWLITZ,7670,4090,13288,27999,53047,7806,4154,13160,26683,51803,0,0,0,0,0,0,0,0,0,33,1299,0,719,889,799,3,84,101,0,0,16,0,2,0,8,5005,21,1670,58,941,3219,7616,252,113,0,0,0,0,0,0,0,0,0,0,0,1,723,0,116,113,619,0,17,25,0,2398,0,15,0,0,1,3,13,43,979,5278,160,52,282.0,0,0,0,0,0,0,0,0,0,0,0,0,4,115,17,19,51,0,0,6,109,2,0,0,0,0,0,1,109,437,0,4,0,10,3,5,13,104850
2010,DOUGLAS,3360,1728,4964,9324,19375,3459,1788,4982,8896,19125,25,3,107,0,36,8,9,526,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,52,0,1,495,0,4,103,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,5,0,5,32,0,1,109,0,0,74,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,38500
2011,DOUGLAS,3343,1774,5007,9214,19339,3460,1834,5215,8802,19311,31,3,195,1,43,13,8,707,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,72,1,3,617,1,2,177,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,5,0,7,24,0,0,74,1,1,111,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,38650
2012,DOUGLAS,3306,1705,5179,9280,19470,3393,1810,5347,8879,19430,0,0,0,0,0,0,0,0,0,4,231,0,245,181,241,0,24,25,0,0,0,0,1,9,0,1147,0,346,7,257,686,1750,80,16,11,1,12,42,2,2,459,0,1,53,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,0,0,7,26,0,3,83,0,0,40,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,4,7,38900
2013,DOUGLAS,3304,1684,5247,9425,19659,3405,1795,5419,9000,19621,0,0,0,0,0,0,0,0,0,0,246,0,197,194,115,0,29,21,0,0,1,0,0,9,2,1205,0,360,8,145,777,1710,83,28,0,0,0,0,0,0,0,0,0,0,0,0,124,0,18,22,44,0,9,2,0,321,0,1,0,0,1,1,0,2,97,684,32,10,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,5,22,0,0,1,20,0,0,0,1,0,0,0,48,125,0,3,2,4,0,0,6,39280
2014,DOUGLAS,3307,1687,5278,9558,19830,3426,1831,5459,9155,19870,0,0,0,0,0,0,0,0,0,6,221,0,169,160,108,0,26,14,0,0,0,1,0,3,0,1133,0,339,6,125,766,1597,100,17,0,0,0,0,0,0,0,0,0,0,0,0,118,0,17,25,52,0,2,2,0,306,0,0,1,0,2,0,0,3,106,689,50,5,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,25,0,0,1,9,0,0,0,0,0,0,0,23,87,0,0,0,0,2,0,2,39700
2015,DOUGLAS,3281,1692,5276,9705,19955,3416,1823,5478,9318,20035,0,0,0,0,0,0,0,0,0,5,282,0,173,256,150,0,20,12,0,0,3,0,1,7,1,1194,0,407,4,192,736,1793,102,41,0,0,0,0,0,0,0,0,0,0,0,2,127,0,14,32,72,0,6,2,0,319,0,2,0,1,2,0,0,2,113,750,44,12,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,11,27,0,0,0,18,0,0,0,2,1,0,0,25,110,0,2,0,1,1,0,2,39990
2016,DOUGLAS,3327,1710,5318,9926,20281,3492,1843,5540,9564,20439,0,0,0,0,0,0,0,0,0,3,243,0,140,228,183,0,22,22,0,0,3,0,1,6,0,1191,1,380,2,224,796,1795,105,40,0,0,0,0,0,0,0,0,0,0,0,0,119,0,23,20,84,0,5,6,0,393,0,3,0,0,0,0,0,1,167,891,56,14,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,5,34,0,0,0,18,0,0,1,0,0,0,0,30,113,0,0,0,2,0,2,2,40720
2012,GARFIELD,143,81,200,724,1150,121,97,226,656,1100,0,0,0,0,0,0,0,0,0,1,21,0,16,17,23,0,0,4,0,0,0,0,0,0,1,76,1,37,0,32,42,145,12,7,1,1,1,5,0,1,89,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250
2010,FERRY,526,348,822,2065,3761,568,428,851,2243,4089,8,0,15,0,4,0,0,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,14,0,1,106,0,0,5,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7850
2011,FERRY,433,278,721,2235,3668,498,275,899,2260,3932,5,0,15,0,1,0,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0,1,91,0,0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600
2012,FERRY,429,256,733,2259,3678,490,273,913,2298,3972,0,0,0,0,0,0,0,0,0,1,47,0,14,7,7,0,0,4,0,0,0,0,1,0,0,58,0,55,0,8,36,121,3,1,11,0,5,7,0,1,45,1,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7650
2013,FERRY,432,248,737,2269,3684,485,270,913,2297,3966,0,0,0,0,0,0,0,0,0,0,43,0,28,4,2,0,1,6,0,0,0,0,0,0,0,68,0,57,5,3,30,128,8,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,6,69,0,1,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7650
2014,FERRY,409,255,742,2284,3690,485,269,909,2307,3970,0,0,0,0,0,0,0,0,0,1,68,0,17,3,27,0,1,4,0,0,0,0,0,2,0,51,0,83,0,28,29,162,9,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,2,28,0,0,2,0,24,0,0,0,0,0,0,0,0,4,102,5,0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,7660
2015,FERRY,400,251,737,2304,3692,493,274,902,2350,4018,0,0,0,0,0,0,0,0,0,0,51,0,15,6,4,0,2,2,0,0,0,0,0,0,0,44,0,59,2,5,19,108,6,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,1,3,0,1,1,0,31,0,0,0,0,0,0,0,1,2,76,4,1,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,7710
2016,FERRY,403,247,737,2299,3686,481,275,900,2358,4014,0,0,0,0,0,0,0,0,0,1,11,0,5,0,0,0,0,4,0,0,0,0,0,0,0,10,0,15,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,29.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700
2010,FRANKLIN,7954,3601,10986,13508,36049,8647,4027,12740,14035,39451,139,30,374,3,136,28,41,1159,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,30,199,2,7,3173,9,10,179,3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,0,22,3,26,88,0,4,539,1,6,90,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,3,16,75500
2011,FRANKLIN,9379,3921,12734,12796,38831,9857,4156,14105,13554,41669,173,16,428,2,187,30,33,1185,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,46,211,2,4,1559,2,12,210,2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,17,1,36,101,0,0,402,0,3,90,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,80500
2012,FRANKLIN,9511,4081,13065,13261,39919,9930,4299,14410,13945,42581,0,0,0,0,0,0,0,0,0,11,892,0,520,800,546,2,56,132,0,0,30,0,1,3,5,3245,9,1308,46,666,1810,5219,250,106,74,0,50,166,1,4,1281,4,18,123,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,0,11,0,29,64,0,10,236,0,4,35,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,9,82500
2013,FRANKLIN,9691,4227,13367,13823,41110,10074,4491,14658,14467,43690,0,0,0,0,0,0,0,0,0,23,941,0,446,809,326,7,51,115,0,0,34,1,2,1,4,3131,4,1332,31,416,1764,4879,238,82,0,0,0,0,0,0,0,0,0,0,0,2,517,0,32,99,184,2,17,11,0,1043,0,20,0,0,5,0,0,12,344,2452,142,22,170.0,1,0,0,0,0,0,0,0,0,0,0,0,1,84,26,28,61,0,0,5,83,4,0,0,3,1,0,0,55,361,6,4,1,7,2,3,10,84800
2014,FRANKLIN,9831,4378,13498,14349,42057,10302,4507,14752,14983,44543,0,0,0,0,0,0,0,0,0,23,918,1,352,672,399,2,37,109,1,0,29,0,5,5,4,2735,5,1287,33,487,1615,4509,221,78,0,0,0,0,0,0,0,0,0,0,0,6,506,0,48,81,255,1,18,13,0,999,0,19,0,4,6,0,4,15,291,2427,139,22,192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,11,21,68,0,2,3,72,0,0,0,1,0,0,6,91,356,4,8,0,2,2,0,4,86600
2015,FRANKLIN,9743,4458,13422,14686,42309,10195,4564,14689,15394,44841,0,0,0,0,0,0,0,0,0,37,909,0,370,715,440,2,49,124,0,0,27,0,5,4,4,2819,12,1315,40,538,1606,4672,246,82,0,0,0,0,0,0,0,0,0,0,0,2,488,0,45,101,281,0,22,13,0,1062,0,16,0,5,5,1,5,13,334,2581,159,29,190.0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,15,27,58,1,0,3,71,3,0,2,0,0,0,1,63,318,4,6,0,5,1,1,6,87150
2016,FRANKLIN,9871,4587,13295,15249,43002,10354,4665,14623,16026,45668,0,0,0,0,0,0,0,0,0,25,853,0,380,809,503,2,68,113,0,0,6,0,2,11,8,3118,8,1207,37,608,1797,4933,222,89,0,0,0,0,0,0,0,0,0,0,0,2,478,0,64,122,317,0,10,18,0,942,0,5,0,0,12,0,18,14,315,2485,153,15,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,10,31,80,0,1,3,80,1,0,0,2,0,0,3,82,381,3,2,0,0,0,1,0,88670
